track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
75ZvA4QfFiZvzhj2xkaWAh,0.308
7vGuf3Y35N4wmASOKLUVVU,0.286
0ofbQMrRDsUaVKq2mGLEAb,0.418
6mrKP2jyIQmM0rw6fQryjr,0.437
7EmGUiUaOSGDnUUQUDrOXC,0.327
1bhUWB0zJMIKr9yVPrkEuI,0.356
5AEtlRudpgdT5FtNiuly6Y,0.71
2ekn2ttSfGqwhhate0LSR0,0.656
5Z3GHaZ6ec9bsiI5BenrbY,0.394
3hBBKuWJfxlIlnd9QFoC8k,0.393
7iDa6hUg2VgEL1o1HjmfBn,0.579
6QgjcU0zLnzq5OrUoSZ3OK,0.754
1mXVgsBdtIVeCLJnSnmtdV,0.534
1wjzFQodRWrPcQ0AnYnvQ9,0.419
6ju3FaV3aVLzGzwERKZuFK,0.89
42CeaId2XNlxugDvyqHfDf,0.434
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
43ZyHQITOjhciSUUNPVRHc,0.699
7EI6Iki24tBHAMxtb4xQN2,0.321
3YU6vJbjYUG0tiJyXf9x5V,0.191
0bYg9bo50gSsH3LtXe2SQn,0.346
2Za1AlJNvksouPPWbXpR2X,0.268
6PKxFkewPt55P5ao5tVS5o,0.487
2rE9TX3VQ0WNt7kziFhKep,0.172
0tgVpDi06FyKpA1z0VMD4v,0.168
3m660poUr1chesgkkjQM7P,0.863
3a1lNhkSLSkpJE4MSHpDu9,0.504
7qiZfU4dY1lWllzX7mPBI3,0.931
0Zbbxnx4SGGHoIow4PpISP,0.419
2xmrfQpmS2iJExTlklLoAL,0.33
5tz69p7tJuGPeMGwNTxYuV,0.386
2OALaHcDdKkjYEpAr0Qzab,0.229
3B54sVLJ402zGa6Xm4YGNe,0.733
7KXjTSCq5nL1LoYtL7XAwS,0.4
0tKcYR2II1VCQWT79i5NrW,0.298
5uu28fUesZMl89lf9CLrgN,0.292
2nUJvBO87SkxCViQsLc9Zr,0.633
7nZmah2llfvLDiUjm0kiyz,0.649
2BTw5ZxeBygVJpdMK1Ur3c,0.199
0CokSRCu5hZgPxcZBaEzVE,0.356
1LIbTjMdFP15jIXGkcICSU,0.636
2MK8xQVIFA81r32V4E1MkT,0.588
7MUNNBJKYo3cdokp06wEOB,0.489
7GX5flRQZVHRAGd6B4TmDO,0.401
7y9iMe8SOB6z3NoHE2OfXl,0.607
7mldq42yDuxiUNn08nvzHO,0.631
152lZdxL1OR0ZMW6KquMif,0.326
0tPQPaOKM32WgMSbPCYyRH,0.552
7m9OqQk4RVRkw9JJdeAw96,0.437
