track_id,valence
4hKWUzhQWsOkgT6LnDEASe,0.746
4m973PBeKbRIMCdLypmPWz,0.683
7wGoVu4Dady5GV0Sv4UIsx,0.119
0ofbQMrRDsUaVKq2mGLEAb,0.418
6mrKP2jyIQmM0rw6fQryjr,0.437
0bYg9bo50gSsH3LtXe2SQn,0.346
7EmGUiUaOSGDnUUQUDrOXC,0.327
2FRnf9qhLbvw8fu4IBXx78,0.947
0tgVpDi06FyKpA1z0VMD4v,0.168
7vGuf3Y35N4wmASOKLUVVU,0.286
3YU6vJbjYUG0tiJyXf9x5V,0.191
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
1nP69R7Nc3yIbiN6EUNyZi,0.428
1bhUWB0zJMIKr9yVPrkEuI,0.356
0Zbbxnx4SGGHoIow4PpISP,0.419
3hBBKuWJfxlIlnd9QFoC8k,0.393
6QgjcU0zLnzq5OrUoSZ3OK,0.754
637yH6Qs3wXdgjPjO7QGdr,0.582
7y5chiQbuvviOYUfUmOPqo,0.487
2ekn2ttSfGqwhhate0LSR0,0.656
1wjzFQodRWrPcQ0AnYnvQ9,0.419
5cjecvX0CmC9gK0Laf5EMQ,0.191
0ZoHHROTzwIYeNAHRPedTY,0.89
4IWAyPf1KMq7JCyGeCjTeH,0.537
3PEgB3fkiojxms35ntsTgs,0.544
1mXVgsBdtIVeCLJnSnmtdV,0.534
2ISl1zekPsc26sUQpVt8UB,0.962
1ADjWm8QNhgNV8yCNNgQ1T,0.527
2rv1aetlu3MEQ5sJWJuMG1,0.468
2nUJvBO87SkxCViQsLc9Zr,0.633
3zJw3rugfpVrmBeDDnUYzy,0.395
7qiZfU4dY1lWllzX7mPBI3,0.931
1zsG4eaZmkA1dvjDDsAGLK,0.64
2NF8A7C6tICScdRaZ0BrEe,0.87
43ZyHQITOjhciSUUNPVRHc,0.699
4gavOCQdZ2g86gkvi17FM7,0.771
2i3WO0WkrlnrA1I4GdUmxh,0.572
0lLdorYw7lVrJydTINhWdI,0.381
2OALaHcDdKkjYEpAr0Qzab,0.229
550rQQCGkrTzvp4SfpOPzx,0.367
0tKcYR2II1VCQWT79i5NrW,0.298
0SvD6EdetxVtXei2JhkV4B,0.524
2mhwX8vAz2l3i2wlrG8Av1,0.938
3B54sVLJ402zGa6Xm4YGNe,0.733
5OHOykHs3Ct2pgbqod8uMD,0.709
05X6aMCQR09E6smUmw9qms,0.335
0CokSRCu5hZgPxcZBaEzVE,0.356
34IY2117PizF4NoRPoMth6,0.647
5AEtlRudpgdT5FtNiuly6Y,0.71
2O2WokTrPztBCAuuJKyCA2,0.108
