track_id,valence
7EmGUiUaOSGDnUUQUDrOXC,0.327
7wGoVu4Dady5GV0Sv4UIsx,0.119
0bYg9bo50gSsH3LtXe2SQn,0.346
0ofbQMrRDsUaVKq2mGLEAb,0.418
6mrKP2jyIQmM0rw6fQryjr,0.437
1bhUWB0zJMIKr9yVPrkEuI,0.356
7vGuf3Y35N4wmASOKLUVVU,0.286
2ekn2ttSfGqwhhate0LSR0,0.656
1mXVgsBdtIVeCLJnSnmtdV,0.534
1ZtEZjYb4e0V0gqwRYeeAY,0.447
0tgVpDi06FyKpA1z0VMD4v,0.168
3hBBKuWJfxlIlnd9QFoC8k,0.393
43ZyHQITOjhciSUUNPVRHc,0.699
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
2nUJvBO87SkxCViQsLc9Zr,0.633
2xmrfQpmS2iJExTlklLoAL,0.33
0kdVIAjTAkAFo7dYdciDU1,0.115
0Zbbxnx4SGGHoIow4PpISP,0.419
2FRnf9qhLbvw8fu4IBXx78,0.947
7qiZfU4dY1lWllzX7mPBI3,0.931
5AEtlRudpgdT5FtNiuly6Y,0.71
3YU6vJbjYUG0tiJyXf9x5V,0.191
1vVZLmZq8gN8pPCEBLjPvD,0.305
2OALaHcDdKkjYEpAr0Qzab,0.229
6ju3FaV3aVLzGzwERKZuFK,0.89
6QgjcU0zLnzq5OrUoSZ3OK,0.754
75ZvA4QfFiZvzhj2xkaWAh,0.308
1Sl3njkhhz8nrSPZroDQ82,0.499
7iDa6hUg2VgEL1o1HjmfBn,0.579
4tNpAeDH7S7cJGEo28Ogi4,0.669
42CeaId2XNlxugDvyqHfDf,0.434
1zsG4eaZmkA1dvjDDsAGLK,0.64
1X8py2jInjgIQ9Y9roDQZC,0.901
3IQe7wqTyXxkqeMR8is76T,0.213
3hbD9LWwKS3BLXz8imubOq,0.223
3B54sVLJ402zGa6Xm4YGNe,0.733
3PEgB3fkiojxms35ntsTgs,0.544
5tXCQI3T4Gz8KHVwiX8UV6,0.209
0tKcYR2II1VCQWT79i5NrW,0.298
0CokSRCu5hZgPxcZBaEzVE,0.356
6xqAP7kpdgCy8lERQHh29c,0.258
5tz69p7tJuGPeMGwNTxYuV,0.386
6DZ0BgcbVpUDXbrydyi7bR,0.768
7EI6Iki24tBHAMxtb4xQN2,0.321
1ADjWm8QNhgNV8yCNNgQ1T,0.527
1ywqGGNsfC9gditduk5hpZ,0.467
1hvpDAxZPKjKztOc72sv06,0.349
4v094LQ9eF10k2O2Te2ngK,0.194
7inXu0Eaeg02VsM8kHNvzM,0.844
7GX5flRQZVHRAGd6B4TmDO,0.401
