track_id,valence
3Ga6eKrUFf12ouh9Yw3v2D,0.619
0pDaqgIForVNO4jrtTxcWT,0.706
1kNVJQEkobOlyfbctPZ4fs,0.817
7q5agbUOzZnVF4Yes3AD7I,0.891
3sIMCkwUZbQbWeNOTG3ET4,0.729
0ofbQMrRDsUaVKq2mGLEAb,0.418
2srL4DYBekshpbprS6H0mO,0.705
2ekn2ttSfGqwhhate0LSR0,0.656
6gquljDBW7rE6mCBzmTRxo,0.648
1xd3OqTbx17HutN7RfJOTj,0.277
228vRHzGfQh47EfLjuY1Yr,0.686
6pSYjx66rlqRmGGTHhnjCo,0.249
7wGoVu4Dady5GV0Sv4UIsx,0.119
5ac0YTpOaDX9wEYYyGCglL,0.663
6ZR7rT7vfwtY0EqyLeyAaO,0.706
6UZJOc2HBrTp9DYfir9N8n,0.819
7EmGUiUaOSGDnUUQUDrOXC,0.327
12lOxvml5EBvSCzQll7xVS,0.831
4kkQGhScJDzNIIGavQE9SN,0.962
7yYOMPwpV5CsK0cxoAZT6B,0.874
3ibRxEv4KkcU9e259eyNJA,0.637
7qiZfU4dY1lWllzX7mPBI3,0.931
2g2ZjM1GjY9Lf2Ff0L94Ul,0.691
1BkyiAw1L0BOHYckwpRX4V,0.744
7vgNGxchhqDQWjKjLPTPro,0.389
1zsG4eaZmkA1dvjDDsAGLK,0.64
2KwojFDebQV4J2b0JMRR5Q,0.58
06ZpMjkNdIDKVf3mK29UiC,0.569
57AmbM2loMyozAU1kjW308,0.145
1qDZnViQgUItsMpWLVwfGb,0.521
1504k2wy349EtgioaW78Ht,0.646
4BjPsq3MXBNo4Qxg40igEr,0.725
5JZlDZzWPbrYwMHmnOQO3U,0.904
3hBBKuWJfxlIlnd9QFoC8k,0.393
6BPt2sVRvE41rUixcCAHY6,0.722
4YV827A7aWVswtyt0eWoWM,0.492
7ieFtgZBYSC94nGs5yF0Wk,0.683
5zSiXA70xM4kuSt6qim6jl,0.922
6P8v1a8jyfwG5kc7Si1kUp,0.661
7CtFr21TzdM4ntuBkwzpxg,0.848
1a5Yu5L18qNxVhXx38njON,0.45
6VpQdig9pdpTSIFItgkJV5,0.264
0r0U9AcE4LP0QzJQDUUlXP,0.393
1bhUWB0zJMIKr9yVPrkEuI,0.356
5aLvtKo9672scTVdEwXPTg,0.455
2cwFhwT6L2D4Olc25nhyZo,0.638
6uyMtLQXZ8amkLyv5l7F7O,0.651
39vJqbfolMyPJtJuyoj1EM,0.676
6zZw7RPIs3IxDghP4UvWcY,0.815
6wXYGqXCLtEHx4VDb2TPcM,0.654
