track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
0ofbQMrRDsUaVKq2mGLEAb,0.418
43ZyHQITOjhciSUUNPVRHc,0.699
0bYg9bo50gSsH3LtXe2SQn,0.346
7EmGUiUaOSGDnUUQUDrOXC,0.327
1bhUWB0zJMIKr9yVPrkEuI,0.356
7vGuf3Y35N4wmASOKLUVVU,0.286
7sO5G9EABYOXQKNPNiE9NR,0.333
3YU6vJbjYUG0tiJyXf9x5V,0.191
2ekn2ttSfGqwhhate0LSR0,0.656
6mrKP2jyIQmM0rw6fQryjr,0.437
0tgVpDi06FyKpA1z0VMD4v,0.168
1mXVgsBdtIVeCLJnSnmtdV,0.534
5AEtlRudpgdT5FtNiuly6Y,0.71
3hBBKuWJfxlIlnd9QFoC8k,0.393
75ZvA4QfFiZvzhj2xkaWAh,0.308
7GX5flRQZVHRAGd6B4TmDO,0.401
2fQrGHiQOvpL9UgPvtYy6G,0.376
2Xqd0wUttjueBfdcltADOv,0.405
3B54sVLJ402zGa6Xm4YGNe,0.733
4dVpf9jZjcORqGTLUaeYj9,0.52
1YZfcVLbbJwfizR5cDOp3q,0.146
7KXjTSCq5nL1LoYtL7XAwS,0.4
3a1lNhkSLSkpJE4MSHpDu9,0.504
42CeaId2XNlxugDvyqHfDf,0.434
7iDa6hUg2VgEL1o1HjmfBn,0.579
5tz69p7tJuGPeMGwNTxYuV,0.386
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
790MhTXPFrYkrqCKvpg4t1,0.649
7qiZfU4dY1lWllzX7mPBI3,0.931
2FRnf9qhLbvw8fu4IBXx78,0.947
3wAI7MIQtTgwcRmwchPZBc,0.196
6NWl2m8asvH83xjuXVNsuG,0.277
0tKcYR2II1VCQWT79i5NrW,0.298
5Z3GHaZ6ec9bsiI5BenrbY,0.394
6ju3FaV3aVLzGzwERKZuFK,0.89
2771LMNxwf62FTAdpJMQfM,0.458
3ncgNpxLoBQ65ABk4djDyd,0.287
6VpQdig9pdpTSIFItgkJV5,0.264
5u6vkDnOyaf8LsteDAj2ub,0.243
1yxgsra98r3qAtxqiGZPiX,0.182
3T7dNA7O8c3Axj5WyDNcH3,0.849
2nUJvBO87SkxCViQsLc9Zr,0.633
1XRgIKC5TPwo7nWGyKqgG0,0.425
0Zbbxnx4SGGHoIow4PpISP,0.419
5hslUAKq9I9CG2bAulFkHN,0.776
3m660poUr1chesgkkjQM7P,0.863
5CtI0qwDJkDQGwXD1H1cLb,0.813
1hvpDAxZPKjKztOc72sv06,0.349
4DTpngLjoHj5gFxEZFeD3J,0.574
