track_id,valence
1zsG4eaZmkA1dvjDDsAGLK,0.64
5hcisvFMidkMJlElTO9Qmw,0.676
6Za3190Sbw39BBC77WSS1C,0.839
4lESS6vuruP6a79KWRaQou,0.765
1m69ELEgE6k5ZWsap40ozt,0.693
33bnxcjePIkcmNjEFTJX0l,0.839
7JNh1cfm0eXjqFVOzKLyau,0.871
3VClLWqNn80Llv0PJOsKgr,0.71
7ofxPmTNMj2GP07g1VZa0O,0.817
5TysCiZtv1HnSWcTcUFusI,0.695
6De0lHrwBfPfrhorm9q1Xl,0.426
6m2LNopVJKsvBB9l7Z1rwn,0.367
70lnL3QaSOIIyMa2X9aVRL,0.893
0ERbK7qVqveCaBWIiYCrl3,0.749
0lJCqIx5BhZtf6QtYI2fbv,0.215
1KSqYYJFyfTecXFk9M0prc,0.787
0yyZN5ASdrYu0XYWFzfxUu,0.624
5YzA563GXTuwQaRq24z1k5,0.746
0JcNysfWVWaMS7R6vzGB2k,0.64
1LszjjoVwDDZcWUQbzeDLG,0.64
693iqPOQvhI7PobtR8CC8v,0.884
6ElmxV9B2mSNscEjP27M7i,0.632
2rb5MvYT7ZIxbKW5hfcHx8,0.294
3Ga6eKrUFf12ouh9Yw3v2D,0.619
7MHN1aCFtLXjownGhvEQlF,0.86
0qYTZCo5Bwh1nsUFGZP3zn,0.737
4XCQtUoRSh22Ep18ULmDnT,0.756
2ekn2ttSfGqwhhate0LSR0,0.656
1Ft13La2daEGqz5yWJC7lx,0.844
5Y9fnynLlIvqtM710MHzfz,0.626
22eADXu8DfOAUEDw4vU8qy,0.427
5q2JbCNi4FcnglgPfxcV65,0.767
3a2aBKuvgP1qHo3BqU3lGh,0.887
0MIcPSq9n2z5H8TAfEstri,0.482
209gZgcfLq2aUuu51vOWBl,0.433
7qiZfU4dY1lWllzX7mPBI3,0.931
2rrJfOphzn4uQCK9X0x6R6,0.26
5TmZYdHW6HJ9gt7Aokuql5,0.828
4N1c5rmWOzRmB9SMacr5wB,0.731
2PgsOTPkF25VJ9cZmUjSKE,0.614
5zSOVwaY3sVjnmLhuEfsuf,0.812
3QwBODjSEzelZyVjxPOHdq,0.704
5EId1m4DNwTf3at31w8bPJ,0.323
13X0XdLMOdtbXVtAj2ox4h,0.496
7h9sdbDEBfkWSmO4mzGED6,0.491
5YY7ht3PCArlLjLbcTiAvh,0.451
0ofbQMrRDsUaVKq2mGLEAb,0.418
37sexcbewtWiE8PDuLRFrY,0.562
4yN6xPLopmTLvc27pO9LIE,0.786
7MMRoGvm7uhoUVhGvHJ3yW,0.741
