track_id,valence
33bnxcjePIkcmNjEFTJX0l,0.839
5hcisvFMidkMJlElTO9Qmw,0.676
6Za3190Sbw39BBC77WSS1C,0.839
1m69ELEgE6k5ZWsap40ozt,0.693
3IyPnNX142pvWx6D5CiimD,0.637
6De0lHrwBfPfrhorm9q1Xl,0.426
5TmZYdHW6HJ9gt7Aokuql5,0.828
0JcNysfWVWaMS7R6vzGB2k,0.64
1nfyE13arjOuO54HH0zmqj,0.313
0MIcPSq9n2z5H8TAfEstri,0.482
1zsG4eaZmkA1dvjDDsAGLK,0.64
4lESS6vuruP6a79KWRaQou,0.765
7Ckhk1XW5NV2k4jpqtQNlz,0.52
3VClLWqNn80Llv0PJOsKgr,0.71
0ERbK7qVqveCaBWIiYCrl3,0.749
3Ga6eKrUFf12ouh9Yw3v2D,0.619
1KSqYYJFyfTecXFk9M0prc,0.787
693iqPOQvhI7PobtR8CC8v,0.884
7JNh1cfm0eXjqFVOzKLyau,0.871
6f4UPdDBQONKJBRqwZGjaJ,0.646
7qiZfU4dY1lWllzX7mPBI3,0.931
7ofxPmTNMj2GP07g1VZa0O,0.817
0lJCqIx5BhZtf6QtYI2fbv,0.215
7MHN1aCFtLXjownGhvEQlF,0.86
5TysCiZtv1HnSWcTcUFusI,0.695
0H7cz1bR7w9PulJL7Na774,0.575
2ekn2ttSfGqwhhate0LSR0,0.656
1LszjjoVwDDZcWUQbzeDLG,0.64
6m2LNopVJKsvBB9l7Z1rwn,0.367
5EId1m4DNwTf3at31w8bPJ,0.323
70lnL3QaSOIIyMa2X9aVRL,0.893
1d0c62VFYauOOgxZ2eFUxx,0.763
22eADXu8DfOAUEDw4vU8qy,0.427
5q2JbCNi4FcnglgPfxcV65,0.767
0qYTZCo5Bwh1nsUFGZP3zn,0.737
5zSOVwaY3sVjnmLhuEfsuf,0.812
13X0XdLMOdtbXVtAj2ox4h,0.496
0ofbQMrRDsUaVKq2mGLEAb,0.418
4yN6xPLopmTLvc27pO9LIE,0.786
5YzA563GXTuwQaRq24z1k5,0.746
3QwBODjSEzelZyVjxPOHdq,0.704
2rb5MvYT7ZIxbKW5hfcHx8,0.294
7EmGUiUaOSGDnUUQUDrOXC,0.327
6ElmxV9B2mSNscEjP27M7i,0.632
3hBBKuWJfxlIlnd9QFoC8k,0.393
3umS4y3uQDkqekNjVpiRUs,0.732
6qDF4wWL49CAVbgT7yuHl8,0.922
3t6j6WNv2OSn6qm5Vxynub,0.676
5fqE4mcMADOX0qTuIlpLZL,0.23
209gZgcfLq2aUuu51vOWBl,0.433
