track_id,valence
1m69ELEgE6k5ZWsap40ozt,0.693
6Za3190Sbw39BBC77WSS1C,0.839
5hcisvFMidkMJlElTO9Qmw,0.676
0MIcPSq9n2z5H8TAfEstri,0.482
6m2LNopVJKsvBB9l7Z1rwn,0.367
6De0lHrwBfPfrhorm9q1Xl,0.426
1zsG4eaZmkA1dvjDDsAGLK,0.64
33bnxcjePIkcmNjEFTJX0l,0.839
7JNh1cfm0eXjqFVOzKLyau,0.871
7ofxPmTNMj2GP07g1VZa0O,0.817
5EId1m4DNwTf3at31w8bPJ,0.323
2ekn2ttSfGqwhhate0LSR0,0.656
1KSqYYJFyfTecXFk9M0prc,0.787
7qiZfU4dY1lWllzX7mPBI3,0.931
7wGoVu4Dady5GV0Sv4UIsx,0.119
0ofbQMrRDsUaVKq2mGLEAb,0.418
5TysCiZtv1HnSWcTcUFusI,0.695
0JcNysfWVWaMS7R6vzGB2k,0.64
7MHN1aCFtLXjownGhvEQlF,0.86
693iqPOQvhI7PobtR8CC8v,0.884
4lESS6vuruP6a79KWRaQou,0.765
0tgVpDi06FyKpA1z0VMD4v,0.168
1mXVgsBdtIVeCLJnSnmtdV,0.534
5zSOVwaY3sVjnmLhuEfsuf,0.812
22eADXu8DfOAUEDw4vU8qy,0.427
70lnL3QaSOIIyMa2X9aVRL,0.893
3VClLWqNn80Llv0PJOsKgr,0.71
2rb5MvYT7ZIxbKW5hfcHx8,0.294
0lJCqIx5BhZtf6QtYI2fbv,0.215
1LszjjoVwDDZcWUQbzeDLG,0.64
0ERbK7qVqveCaBWIiYCrl3,0.749
0yyZN5ASdrYu0XYWFzfxUu,0.624
3hBBKuWJfxlIlnd9QFoC8k,0.393
0qYTZCo5Bwh1nsUFGZP3zn,0.737
5TmZYdHW6HJ9gt7Aokuql5,0.828
3Ga6eKrUFf12ouh9Yw3v2D,0.619
43ZyHQITOjhciSUUNPVRHc,0.699
4N1c5rmWOzRmB9SMacr5wB,0.731
7EmGUiUaOSGDnUUQUDrOXC,0.327
0KKkJNfGyhkQ5aFogxQAPU,0.86
3QwBODjSEzelZyVjxPOHdq,0.704
6b8Be6ljOzmkOmFslEb23P,0.632
11ZRYISCsAsLyyJo47DudZ,0.121
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
1bhUWB0zJMIKr9yVPrkEuI,0.356
6ElmxV9B2mSNscEjP27M7i,0.632
2FrnTVSHjgnEylKGdHRUK1,0.307
0B7wvvmu9EISAwZnOpjhNI,0.411
4okba5wu9mMLXx79DXLKi3,0.891
209gZgcfLq2aUuu51vOWBl,0.433
