track_id,valence
7EmGUiUaOSGDnUUQUDrOXC,0.327
7wGoVu4Dady5GV0Sv4UIsx,0.119
0bYg9bo50gSsH3LtXe2SQn,0.346
0ofbQMrRDsUaVKq2mGLEAb,0.418
3YU6vJbjYUG0tiJyXf9x5V,0.191
6mrKP2jyIQmM0rw6fQryjr,0.437
1bhUWB0zJMIKr9yVPrkEuI,0.356
2FRnf9qhLbvw8fu4IBXx78,0.947
0Zbbxnx4SGGHoIow4PpISP,0.419
3hBBKuWJfxlIlnd9QFoC8k,0.393
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
2ekn2ttSfGqwhhate0LSR0,0.656
7qiZfU4dY1lWllzX7mPBI3,0.931
3PEgB3fkiojxms35ntsTgs,0.544
7vGuf3Y35N4wmASOKLUVVU,0.286
0tKcYR2II1VCQWT79i5NrW,0.298
43ZyHQITOjhciSUUNPVRHc,0.699
2xmrfQpmS2iJExTlklLoAL,0.33
7iDa6hUg2VgEL1o1HjmfBn,0.579
7kkvpAEdlCXeLJQ77UmcXB,0.223
0tgVpDi06FyKpA1z0VMD4v,0.168
6QgjcU0zLnzq5OrUoSZ3OK,0.754
0OI7AFifLSoGzpb8bdBLLV,0.216
5AEtlRudpgdT5FtNiuly6Y,0.71
1mXVgsBdtIVeCLJnSnmtdV,0.534
2OALaHcDdKkjYEpAr0Qzab,0.229
2nUJvBO87SkxCViQsLc9Zr,0.633
0CcQNd8CINkwQfe1RDtGV6,0.708
6ju3FaV3aVLzGzwERKZuFK,0.89
5yFSF6qQA1rcLsQRnBsZgb,0.662
42CeaId2XNlxugDvyqHfDf,0.434
4IWAyPf1KMq7JCyGeCjTeH,0.537
6RUKPb4LETWmmr3iAEQktW,0.446
3T7dNA7O8c3Axj5WyDNcH3,0.849
1ADjWm8QNhgNV8yCNNgQ1T,0.527
1zsG4eaZmkA1dvjDDsAGLK,0.64
6VpQdig9pdpTSIFItgkJV5,0.264
7EI6Iki24tBHAMxtb4xQN2,0.321
0OlnLZY4cmQzT6ZGttvWBM,0.13
75ZvA4QfFiZvzhj2xkaWAh,0.308
4IdXngKo4g5exqZ0fQTecu,0.751
7inXu0Eaeg02VsM8kHNvzM,0.844
5tz69p7tJuGPeMGwNTxYuV,0.386
3j30Y6jVypcZxFiWATyZ4Y,0.317
3bWAqKDWg6u1davspr5IkS,0.583
5hslUAKq9I9CG2bAulFkHN,0.776
1Qg9jWGDkKAGZXj5v2OG59,0.407
1hvpDAxZPKjKztOc72sv06,0.349
6WbADFqMvR8N5u0BvtsWQE,0.279
2Xqd0wUttjueBfdcltADOv,0.405
