track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
6gNQyLZeyk4JMwpsNST9bv,0.587
0bYg9bo50gSsH3LtXe2SQn,0.346
2FRnf9qhLbvw8fu4IBXx78,0.947
1bhUWB0zJMIKr9yVPrkEuI,0.356
5lfdk3SoWmqFc4FPYklQm4,0.414
6mrKP2jyIQmM0rw6fQryjr,0.437
32OWobmyAz8J2qA8iWekyS,0.881
1ADjWm8QNhgNV8yCNNgQ1T,0.527
7kqzLGw8qLEWN9CxSkii1o,0.518
0tgVpDi06FyKpA1z0VMD4v,0.168
14u0zpogrwb1t37dUn2VIz,0.58
0ofbQMrRDsUaVKq2mGLEAb,0.418
7EmGUiUaOSGDnUUQUDrOXC,0.327
7aiVBCp1ibIWE5GeHkbtxr,0.665
2ISl1zekPsc26sUQpVt8UB,0.962
5DyuG6Bg2I1qdOgZ8PNHfJ,0.361
2MHiE76HdeJznaQtrLwBug,0.298
0rEwD7QVscNnz05ooEb0qB,0.659
4cEhVWWBqVf1JJOUdNRB4v,0.289
42CeaId2XNlxugDvyqHfDf,0.434
48utQXfRC0qPBlCbDkkTrh,0.474
1mXVgsBdtIVeCLJnSnmtdV,0.534
0lLdorYw7lVrJydTINhWdI,0.381
1upPKSQJreAEGrwNiCnKil,0.794
5tz69p7tJuGPeMGwNTxYuV,0.386
0ZoHHROTzwIYeNAHRPedTY,0.89
7vGuf3Y35N4wmASOKLUVVU,0.286
4iZrD0uy5IxST6eKg3uJHr,0.732
2rui6bCZAz3yJ7YFQeyWMq,0.227
2lEpqKYhwFGg2IEe8eqYHz,0.453
1hvpDAxZPKjKztOc72sv06,0.349
4QOTOTJsJjgrAf0BgnfaRF,0.927
5Z3GHaZ6ec9bsiI5BenrbY,0.394
3hBBKuWJfxlIlnd9QFoC8k,0.393
75ZvA4QfFiZvzhj2xkaWAh,0.308
0Clb9aiXWa0dvVff5aN4VN,0.537
1Rf9L6mEdRCshE5ul1W2BQ,0.761
0kCPSftkLQW4TOkVRIx1Er,0.763
446v5k1vekgc8U5yqsmd5N,0.797
3WcK48G0JoYgyasnFbmgZ3,0.575
43ZyHQITOjhciSUUNPVRHc,0.699
3nAp4IvdMPPWEH9uuXFFV5,0.689
4IdXngKo4g5exqZ0fQTecu,0.751
4LTUBsLeIn8qcopkFwhwK9,0.494
2mEdVaLBy8vfztnZojEG6F,0.783
3KC1y053yiZDHv44Rmw5iD,0.737
2nUJvBO87SkxCViQsLc9Zr,0.633
42tdG2vI7JJzCdMvhyWk1A,0.869
1UUj1iScVn6wOXiBSyBhLn,0.576
