track_id,valence
5hcisvFMidkMJlElTO9Qmw,0.676
6ElmxV9B2mSNscEjP27M7i,0.632
1itehVOMz2qYoxf4kKksfd,0.487
6Za3190Sbw39BBC77WSS1C,0.839
0lJCqIx5BhZtf6QtYI2fbv,0.215
1m69ELEgE6k5ZWsap40ozt,0.693
0MIcPSq9n2z5H8TAfEstri,0.482
7JNh1cfm0eXjqFVOzKLyau,0.871
1zsG4eaZmkA1dvjDDsAGLK,0.64
4lESS6vuruP6a79KWRaQou,0.765
6De0lHrwBfPfrhorm9q1Xl,0.426
1U5vNXDtpgrXwhBmyLRbuV,0.534
5EId1m4DNwTf3at31w8bPJ,0.323
1LszjjoVwDDZcWUQbzeDLG,0.64
3VClLWqNn80Llv0PJOsKgr,0.71
2rrJfOphzn4uQCK9X0x6R6,0.26
3t6j6WNv2OSn6qm5Vxynub,0.676
7jpUBLaFhqzu6Wy4Ud3v93,0.732
7wGoVu4Dady5GV0Sv4UIsx,0.119
1KSqYYJFyfTecXFk9M0prc,0.787
3Ga6eKrUFf12ouh9Yw3v2D,0.619
0ERbK7qVqveCaBWIiYCrl3,0.749
7ofxPmTNMj2GP07g1VZa0O,0.817
22eADXu8DfOAUEDw4vU8qy,0.427
44Sdcgi28xkVEJTfkSYQGL,0.962
5W9oqM9MkYU0DVBic748ZJ,0.183
5Y9fnynLlIvqtM710MHzfz,0.626
3iDPALl8BoUbuXZgy6EOWY,0.5
70lnL3QaSOIIyMa2X9aVRL,0.893
0JcNysfWVWaMS7R6vzGB2k,0.64
5zSOVwaY3sVjnmLhuEfsuf,0.812
693iqPOQvhI7PobtR8CC8v,0.884
66pK7thQ0yw1xlqw8AQSlw,0.204
5YzA563GXTuwQaRq24z1k5,0.746
0ofbQMrRDsUaVKq2mGLEAb,0.418
43ZyHQITOjhciSUUNPVRHc,0.699
7FfpP3YZ6fOWMdxkIAtud9,0.411
1mXVgsBdtIVeCLJnSnmtdV,0.534
33bnxcjePIkcmNjEFTJX0l,0.839
2rb5MvYT7ZIxbKW5hfcHx8,0.294
6SIrNxmmdbv1KUbFBu1PaN,0.582
0QQNA8bZqefrGfsShzlZkb,0.479
0qYTZCo5Bwh1nsUFGZP3zn,0.737
11ZRYISCsAsLyyJo47DudZ,0.121
6r46lnXFbE9fr2d3KNaGbe,0.556
2ekn2ttSfGqwhhate0LSR0,0.656
2FrnTVSHjgnEylKGdHRUK1,0.307
5q2JbCNi4FcnglgPfxcV65,0.767
1WbXIpiGBJkCiv3hn40iPB,0.682
5YY7ht3PCArlLjLbcTiAvh,0.451
