track_id,valence
1zsG4eaZmkA1dvjDDsAGLK,0.64
33bnxcjePIkcmNjEFTJX0l,0.839
4lESS6vuruP6a79KWRaQou,0.765
5hcisvFMidkMJlElTO9Qmw,0.676
6Za3190Sbw39BBC77WSS1C,0.839
6De0lHrwBfPfrhorm9q1Xl,0.426
0JcNysfWVWaMS7R6vzGB2k,0.64
7JNh1cfm0eXjqFVOzKLyau,0.871
1m69ELEgE6k5ZWsap40ozt,0.693
7ofxPmTNMj2GP07g1VZa0O,0.817
5TysCiZtv1HnSWcTcUFusI,0.695
5TmZYdHW6HJ9gt7Aokuql5,0.828
3VClLWqNn80Llv0PJOsKgr,0.71
70lnL3QaSOIIyMa2X9aVRL,0.893
7Ckhk1XW5NV2k4jpqtQNlz,0.52
3Ga6eKrUFf12ouh9Yw3v2D,0.619
6m2LNopVJKsvBB9l7Z1rwn,0.367
0ERbK7qVqveCaBWIiYCrl3,0.749
693iqPOQvhI7PobtR8CC8v,0.884
1d0c62VFYauOOgxZ2eFUxx,0.763
0H7cz1bR7w9PulJL7Na774,0.575
1KSqYYJFyfTecXFk9M0prc,0.787
1nfyE13arjOuO54HH0zmqj,0.313
6f4UPdDBQONKJBRqwZGjaJ,0.646
7MHN1aCFtLXjownGhvEQlF,0.86
0lJCqIx5BhZtf6QtYI2fbv,0.215
4N1c5rmWOzRmB9SMacr5wB,0.731
0yyZN5ASdrYu0XYWFzfxUu,0.624
1Ft13La2daEGqz5yWJC7lx,0.844
0qYTZCo5Bwh1nsUFGZP3zn,0.737
3whrwq4DtvucphBPUogRuJ,0.349
3xWEI23MLJrD0dpDcDUTW6,0.506
7qiZfU4dY1lWllzX7mPBI3,0.931
4XP6qLtHI0n9UjIPTsuqe8,0.803
0ofbQMrRDsUaVKq2mGLEAb,0.418
2rb5MvYT7ZIxbKW5hfcHx8,0.294
2ekn2ttSfGqwhhate0LSR0,0.656
5YzA563GXTuwQaRq24z1k5,0.746
1LszjjoVwDDZcWUQbzeDLG,0.64
22eADXu8DfOAUEDw4vU8qy,0.427
5ojXuKXBYq0apcNucYSDXq,0.496
2rrJfOphzn4uQCK9X0x6R6,0.26
6ElmxV9B2mSNscEjP27M7i,0.632
4yN6xPLopmTLvc27pO9LIE,0.786
209gZgcfLq2aUuu51vOWBl,0.433
0tgVpDi06FyKpA1z0VMD4v,0.168
5q2JbCNi4FcnglgPfxcV65,0.767
3hBBKuWJfxlIlnd9QFoC8k,0.393
5zSOVwaY3sVjnmLhuEfsuf,0.812
13X0XdLMOdtbXVtAj2ox4h,0.496
