track_id,valence
5hcisvFMidkMJlElTO9Qmw,0.676
6Za3190Sbw39BBC77WSS1C,0.839
33bnxcjePIkcmNjEFTJX0l,0.839
1m69ELEgE6k5ZWsap40ozt,0.693
1zsG4eaZmkA1dvjDDsAGLK,0.64
6De0lHrwBfPfrhorm9q1Xl,0.426
7ofxPmTNMj2GP07g1VZa0O,0.817
7JNh1cfm0eXjqFVOzKLyau,0.871
0lJCqIx5BhZtf6QtYI2fbv,0.215
7wGoVu4Dady5GV0Sv4UIsx,0.119
4lESS6vuruP6a79KWRaQou,0.765
0JcNysfWVWaMS7R6vzGB2k,0.64
3VClLWqNn80Llv0PJOsKgr,0.71
5TysCiZtv1HnSWcTcUFusI,0.695
1KSqYYJFyfTecXFk9M0prc,0.787
6ElmxV9B2mSNscEjP27M7i,0.632
5q2JbCNi4FcnglgPfxcV65,0.767
0ofbQMrRDsUaVKq2mGLEAb,0.418
693iqPOQvhI7PobtR8CC8v,0.884
1LszjjoVwDDZcWUQbzeDLG,0.64
2ekn2ttSfGqwhhate0LSR0,0.656
0ERbK7qVqveCaBWIiYCrl3,0.749
7EmGUiUaOSGDnUUQUDrOXC,0.327
70lnL3QaSOIIyMa2X9aVRL,0.893
22eADXu8DfOAUEDw4vU8qy,0.427
5EId1m4DNwTf3at31w8bPJ,0.323
3Ga6eKrUFf12ouh9Yw3v2D,0.619
5YzA563GXTuwQaRq24z1k5,0.746
7MHN1aCFtLXjownGhvEQlF,0.86
7qiZfU4dY1lWllzX7mPBI3,0.931
0yyZN5ASdrYu0XYWFzfxUu,0.624
2rb5MvYT7ZIxbKW5hfcHx8,0.294
0tgVpDi06FyKpA1z0VMD4v,0.168
0qYTZCo5Bwh1nsUFGZP3zn,0.737
5TmZYdHW6HJ9gt7Aokuql5,0.828
3hBBKuWJfxlIlnd9QFoC8k,0.393
0H7cz1bR7w9PulJL7Na774,0.575
3whrwq4DtvucphBPUogRuJ,0.349
43ZyHQITOjhciSUUNPVRHc,0.699
7FfpP3YZ6fOWMdxkIAtud9,0.411
5zSOVwaY3sVjnmLhuEfsuf,0.812
4N1c5rmWOzRmB9SMacr5wB,0.731
3t6j6WNv2OSn6qm5Vxynub,0.676
63bmZnBN1CiJ9sA4qTEe8y,0.687
2FrnTVSHjgnEylKGdHRUK1,0.307
0tKcYR2II1VCQWT79i5NrW,0.298
3QwBODjSEzelZyVjxPOHdq,0.704
1mXVgsBdtIVeCLJnSnmtdV,0.534
1bhUWB0zJMIKr9yVPrkEuI,0.356
209gZgcfLq2aUuu51vOWBl,0.433
