track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
6mrKP2jyIQmM0rw6fQryjr,0.437
0bYg9bo50gSsH3LtXe2SQn,0.346
3YU6vJbjYUG0tiJyXf9x5V,0.191
7EmGUiUaOSGDnUUQUDrOXC,0.327
1bhUWB0zJMIKr9yVPrkEuI,0.356
7vGuf3Y35N4wmASOKLUVVU,0.286
2FRnf9qhLbvw8fu4IBXx78,0.947
0ofbQMrRDsUaVKq2mGLEAb,0.418
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
43ZyHQITOjhciSUUNPVRHc,0.699
2ekn2ttSfGqwhhate0LSR0,0.656
42CeaId2XNlxugDvyqHfDf,0.434
1mXVgsBdtIVeCLJnSnmtdV,0.534
3hBBKuWJfxlIlnd9QFoC8k,0.393
75ZvA4QfFiZvzhj2xkaWAh,0.308
3T7dNA7O8c3Axj5WyDNcH3,0.849
0tgVpDi06FyKpA1z0VMD4v,0.168
5yFSF6qQA1rcLsQRnBsZgb,0.662
2xmrfQpmS2iJExTlklLoAL,0.33
0Zbbxnx4SGGHoIow4PpISP,0.419
5tz69p7tJuGPeMGwNTxYuV,0.386
0OlnLZY4cmQzT6ZGttvWBM,0.13
5hslUAKq9I9CG2bAulFkHN,0.776
5AEtlRudpgdT5FtNiuly6Y,0.71
0OI7AFifLSoGzpb8bdBLLV,0.216
7GX5flRQZVHRAGd6B4TmDO,0.401
7EI6Iki24tBHAMxtb4xQN2,0.321
6NWl2m8asvH83xjuXVNsuG,0.277
3B54sVLJ402zGa6Xm4YGNe,0.733
2OALaHcDdKkjYEpAr0Qzab,0.229
7inXu0Eaeg02VsM8kHNvzM,0.844
1zsG4eaZmkA1dvjDDsAGLK,0.64
0tKcYR2II1VCQWT79i5NrW,0.298
7qiZfU4dY1lWllzX7mPBI3,0.931
7KXjTSCq5nL1LoYtL7XAwS,0.4
4IdXngKo4g5exqZ0fQTecu,0.751
6QgjcU0zLnzq5OrUoSZ3OK,0.754
7iDa6hUg2VgEL1o1HjmfBn,0.579
32DGGj6KlNuBr6WaqRxpxi,0.779
0lLdorYw7lVrJydTINhWdI,0.381
3a1lNhkSLSkpJE4MSHpDu9,0.504
3PEgB3fkiojxms35ntsTgs,0.544
4so0Wek9Ig1p6CRCHuINwW,0.236
22fRl49GSpRdu3J2EPj1i6,0.112
2Xqd0wUttjueBfdcltADOv,0.405
13yU3vcrJegnuFUHDMskpq,0.26
1hvpDAxZPKjKztOc72sv06,0.349
2fQrGHiQOvpL9UgPvtYy6G,0.376
5yuShbu70mtHXY0yLzCQLQ,0.133
