track_id,valence
2rHVaNBkAWylDbgh9l47n5,0.387
7wGoVu4Dady5GV0Sv4UIsx,0.119
3YU6vJbjYUG0tiJyXf9x5V,0.191
6hAKGURpSwL2tvmfjnkWGr,0.397
0gySKxqIOHTVD3YObTsJug,0.654
1g5ekWqRgWCxG2vX14EFzn,0.237
7nxmy3LKlWvVNTjo7vKSi1,0.685
7A3vVmr5obwXQbFz4Zs8sv,0.584
5HFUJIjkg7DgP3EuWtZ1rA,0.361
6Z4UPnU2Kwvws4CYN0kZbw,0.428
5zT0kpzFSaonTEXxmgk4Q2,0.367
6mrKP2jyIQmM0rw6fQryjr,0.437
43ZyHQITOjhciSUUNPVRHc,0.699
7EmGUiUaOSGDnUUQUDrOXC,0.327
5yFSF6qQA1rcLsQRnBsZgb,0.662
1m6OKxDyKgvIrln6e8c72Y,0.69
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
7hRDxqbfLrUCbcCxJSCkRn,0.495
3RCxl6HWK4ADOzMbY8FZCw,0.227
7omuMsdMUVkUhW8Wsevn01,0.199
7m7vqt0dQ3HXHSzLPMlFg3,0.368
6xqH9NGcWJfmM4bmxIfGk3,0.276
0bYg9bo50gSsH3LtXe2SQn,0.346
1bhUWB0zJMIKr9yVPrkEuI,0.356
6h4EXoiVFJehGrK9Xl8Zeo,0.345
0ofbQMrRDsUaVKq2mGLEAb,0.418
3seNictp7GWitSNKlujwnY,0.562
5cN3TZfA73ZtcOVBYg6A6h,0.476
7vGuf3Y35N4wmASOKLUVVU,0.286
2nUJvBO87SkxCViQsLc9Zr,0.633
0OlnLZY4cmQzT6ZGttvWBM,0.13
0tgVpDi06FyKpA1z0VMD4v,0.168
2XrgV14S5k0Jocp07xfTtj,0.622
7EI6Iki24tBHAMxtb4xQN2,0.321
1tXF7sfiKLuHp6BW4q52zJ,0.462
3WhLtbSR3nzJt9RW4MkmI6,0.746
2FRnf9qhLbvw8fu4IBXx78,0.947
1hYSyi6LY9LkdYH0EjoFCO,0.458
2z4pcBLQXF2BXKFvd0BuB6,0.62
3v3K7xgKQahAml0BGjdIfY,0.753
2ekn2ttSfGqwhhate0LSR0,0.656
0Zbbxnx4SGGHoIow4PpISP,0.419
54ulOTUIZA4suH69uQCwdZ,0.372
1zsG4eaZmkA1dvjDDsAGLK,0.64
7qiZfU4dY1lWllzX7mPBI3,0.931
0lF4f6Difjc6Z3prGHqbJM,0.539
4ZxTm3KI4jDy7gNhbp8avh,0.424
4waYSI6TTW0guhTJc4gWzq,0.661
0dxlri0FcuSdA3WmJlj61C,0.601
5pSSjM7U4ZIxcjdDLarOVI,0.781
