track_id,valence
1CYj9Yx8zrYvU93khXvmsA,0.371
1vVZLmZq8gN8pPCEBLjPvD,0.305
1ywqGGNsfC9gditduk5hpZ,0.467
6xqAP7kpdgCy8lERQHh29c,0.258
5SGoH6oXOUUWKpvuOzLEnM,0.598
5uTod3SFov0HLe1QAPn960,0.285
06IYJV7Ed3FfpJurK7OIFG,0.458
7wGoVu4Dady5GV0Sv4UIsx,0.119
2HdCh16tdPjle1rm80Y6q7,0.739
3IQe7wqTyXxkqeMR8is76T,0.213
0ofbQMrRDsUaVKq2mGLEAb,0.418
0uBu60Wd7yzm2sFrj2hSr6,0.331
2OyrNLP00LCDYFC5MMtdHq,0.564
4s7OqcUEyLJ1RkbzBopRGt,0.566
08Dx3uIZwSJIzhkHbteMg9,0.677
61TEjsLb7OlStCTpQfcHnC,0.904
2Fs3jrnxAnPsiKmD3b37FE,0.445
22s2CAMi1ciy0wMN42OCV2,0.288
0ZX9rBmszRFqk10d8JeV1p,0.633
4eUxD9V0Df1prftDNBpQ9Z,0.249
43ZyHQITOjhciSUUNPVRHc,0.699
2nY6MRHWpW0AGXMoGDJOjX,0.31
1zw40jMntljzbGsl0KJboE,0.123
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
3ldfGgw7IoLHbaqmspX3ME,0.512
5Rx8EFzn69ZDUak8U9jNwC,0.489
2r6C2IEw533mDs3sam5Zxx,0.385
7gmYDrNYV5AaTEnZo0yhtM,0.321
3hBBKuWJfxlIlnd9QFoC8k,0.393
37YNulvDhyzULfhHycmhEl,0.457
5h0cywRy1x3LQc7kHIxPgu,0.95
6mrKP2jyIQmM0rw6fQryjr,0.437
6xcXAVbDuVT1pCsa2rmDHY,0.93
7qiZfU4dY1lWllzX7mPBI3,0.931
0J2a0afQcr63ymGo5hKCDo,0.794
2ekn2ttSfGqwhhate0LSR0,0.656
0CokSRCu5hZgPxcZBaEzVE,0.356
3B54sVLJ402zGa6Xm4YGNe,0.733
2ogSMKrLQnICe1onHfr0rL,0.828
2NF8A7C6tICScdRaZ0BrEe,0.87
3alSzdz0U10gV2aXVigYkT,0.711
1gI6FedOWXQ7aSj4FfEiGK,0.115
0IvTKTST66tq30ZeFWeqfm,0.833
16pMGll7Ngwq32CrLEMyxa,0.883
2ICdvchXmDh5mdLyyL2opB,0.587
1bhUWB0zJMIKr9yVPrkEuI,0.356
6QgjcU0zLnzq5OrUoSZ3OK,0.754
0tKcYR2II1VCQWT79i5NrW,0.298
0Zbbxnx4SGGHoIow4PpISP,0.419
2UZW9WOPXdxw9YMG1bebS8,0.245
