track_id,valence
4hKWUzhQWsOkgT6LnDEASe,0.746
7wGoVu4Dady5GV0Sv4UIsx,0.119
4m973PBeKbRIMCdLypmPWz,0.683
0ofbQMrRDsUaVKq2mGLEAb,0.418
6mrKP2jyIQmM0rw6fQryjr,0.437
0bYg9bo50gSsH3LtXe2SQn,0.346
5cjecvX0CmC9gK0Laf5EMQ,0.191
1nP69R7Nc3yIbiN6EUNyZi,0.428
637yH6Qs3wXdgjPjO7QGdr,0.582
7vGuf3Y35N4wmASOKLUVVU,0.286
7EmGUiUaOSGDnUUQUDrOXC,0.327
3YU6vJbjYUG0tiJyXf9x5V,0.191
2FRnf9qhLbvw8fu4IBXx78,0.947
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
0tgVpDi06FyKpA1z0VMD4v,0.168
1bhUWB0zJMIKr9yVPrkEuI,0.356
7nZmah2llfvLDiUjm0kiyz,0.649
2ekn2ttSfGqwhhate0LSR0,0.656
7y5chiQbuvviOYUfUmOPqo,0.487
2nUJvBO87SkxCViQsLc9Zr,0.633
2xYoWWLcFjYQsEvsKqof3P,0.646
0Zbbxnx4SGGHoIow4PpISP,0.419
0ocIyziRJhnicqGm1u0m1X,0.673
2O2WokTrPztBCAuuJKyCA2,0.108
34IY2117PizF4NoRPoMth6,0.647
3hBBKuWJfxlIlnd9QFoC8k,0.393
3ireeOPKD5i6wN6CBp5koM,0.508
4IWAyPf1KMq7JCyGeCjTeH,0.537
1mXVgsBdtIVeCLJnSnmtdV,0.534
0ZoHHROTzwIYeNAHRPedTY,0.89
3PEgB3fkiojxms35ntsTgs,0.544
18B8O0dI8RANa7Kx9vyemO,0.344
6QgjcU0zLnzq5OrUoSZ3OK,0.754
5OHOykHs3Ct2pgbqod8uMD,0.709
7qiZfU4dY1lWllzX7mPBI3,0.931
3B54sVLJ402zGa6Xm4YGNe,0.733
2z4pcBLQXF2BXKFvd0BuB6,0.62
1xSTaiXN33Y5chE2bFixVo,0.393
06ieFuGkwHCOFP2cmOBmgb,0.488
0SvD6EdetxVtXei2JhkV4B,0.524
43ZyHQITOjhciSUUNPVRHc,0.699
1ADjWm8QNhgNV8yCNNgQ1T,0.527
5RddxRDhCIcp8u8P5sV6n2,0.362
2OALaHcDdKkjYEpAr0Qzab,0.229
5fBLHMccZTRyCxFI17YjQB,0.651
1Rn0dmvcmrkM16ImY8TObH,0.458
2ISl1zekPsc26sUQpVt8UB,0.962
1zsG4eaZmkA1dvjDDsAGLK,0.64
1wjzFQodRWrPcQ0AnYnvQ9,0.419
6F0fXw4G0dqRWJnvWPZM67,0.629
