track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
0ofbQMrRDsUaVKq2mGLEAb,0.418
7EmGUiUaOSGDnUUQUDrOXC,0.327
2ekn2ttSfGqwhhate0LSR0,0.656
1bhUWB0zJMIKr9yVPrkEuI,0.356
6mrKP2jyIQmM0rw6fQryjr,0.437
0bYg9bo50gSsH3LtXe2SQn,0.346
1mXVgsBdtIVeCLJnSnmtdV,0.534
0tgVpDi06FyKpA1z0VMD4v,0.168
43ZyHQITOjhciSUUNPVRHc,0.699
3hBBKuWJfxlIlnd9QFoC8k,0.393
1zsG4eaZmkA1dvjDDsAGLK,0.64
7vGuf3Y35N4wmASOKLUVVU,0.286
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
3YU6vJbjYUG0tiJyXf9x5V,0.191
75ZvA4QfFiZvzhj2xkaWAh,0.308
7qiZfU4dY1lWllzX7mPBI3,0.931
5AEtlRudpgdT5FtNiuly6Y,0.71
2FRnf9qhLbvw8fu4IBXx78,0.947
42CeaId2XNlxugDvyqHfDf,0.434
5hcisvFMidkMJlElTO9Qmw,0.676
6ju3FaV3aVLzGzwERKZuFK,0.89
5Z3GHaZ6ec9bsiI5BenrbY,0.394
0tKcYR2II1VCQWT79i5NrW,0.298
7iDa6hUg2VgEL1o1HjmfBn,0.579
2xmrfQpmS2iJExTlklLoAL,0.33
7GX5flRQZVHRAGd6B4TmDO,0.401
5tz69p7tJuGPeMGwNTxYuV,0.386
7sO5G9EABYOXQKNPNiE9NR,0.333
6Za3190Sbw39BBC77WSS1C,0.839
3a1lNhkSLSkpJE4MSHpDu9,0.504
0Zbbxnx4SGGHoIow4PpISP,0.419
3B54sVLJ402zGa6Xm4YGNe,0.733
2Xqd0wUttjueBfdcltADOv,0.405
4lESS6vuruP6a79KWRaQou,0.765
6De0lHrwBfPfrhorm9q1Xl,0.426
2rb5MvYT7ZIxbKW5hfcHx8,0.294
3Ga6eKrUFf12ouh9Yw3v2D,0.619
7KXjTSCq5nL1LoYtL7XAwS,0.4
6VpQdig9pdpTSIFItgkJV5,0.264
2OALaHcDdKkjYEpAr0Qzab,0.229
2fQrGHiQOvpL9UgPvtYy6G,0.376
1m69ELEgE6k5ZWsap40ozt,0.693
6QgjcU0zLnzq5OrUoSZ3OK,0.754
2nUJvBO87SkxCViQsLc9Zr,0.633
7EI6Iki24tBHAMxtb4xQN2,0.321
3m660poUr1chesgkkjQM7P,0.863
7JNh1cfm0eXjqFVOzKLyau,0.871
0lLdorYw7lVrJydTINhWdI,0.381
4iLqG9SeJSnt0cSPICSjxv,0.777
