track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
3YU6vJbjYUG0tiJyXf9x5V,0.191
0ofbQMrRDsUaVKq2mGLEAb,0.418
7EmGUiUaOSGDnUUQUDrOXC,0.327
43ZyHQITOjhciSUUNPVRHc,0.699
2ekn2ttSfGqwhhate0LSR0,0.656
1bhUWB0zJMIKr9yVPrkEuI,0.356
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
0bYg9bo50gSsH3LtXe2SQn,0.346
6mrKP2jyIQmM0rw6fQryjr,0.437
2Xqd0wUttjueBfdcltADOv,0.405
2nUJvBO87SkxCViQsLc9Zr,0.633
7sO5G9EABYOXQKNPNiE9NR,0.333
3hBBKuWJfxlIlnd9QFoC8k,0.393
6ju3FaV3aVLzGzwERKZuFK,0.89
6VpQdig9pdpTSIFItgkJV5,0.264
2FRnf9qhLbvw8fu4IBXx78,0.947
7vGuf3Y35N4wmASOKLUVVU,0.286
1mXVgsBdtIVeCLJnSnmtdV,0.534
2xmrfQpmS2iJExTlklLoAL,0.33
3B54sVLJ402zGa6Xm4YGNe,0.733
7GX5flRQZVHRAGd6B4TmDO,0.401
0Zbbxnx4SGGHoIow4PpISP,0.419
5AEtlRudpgdT5FtNiuly6Y,0.71
42CeaId2XNlxugDvyqHfDf,0.434
7EI6Iki24tBHAMxtb4xQN2,0.321
7iDa6hUg2VgEL1o1HjmfBn,0.579
7KXjTSCq5nL1LoYtL7XAwS,0.4
0OI7AFifLSoGzpb8bdBLLV,0.216
75ZvA4QfFiZvzhj2xkaWAh,0.308
6QgjcU0zLnzq5OrUoSZ3OK,0.754
1YZfcVLbbJwfizR5cDOp3q,0.146
1ADjWm8QNhgNV8yCNNgQ1T,0.527
0tgVpDi06FyKpA1z0VMD4v,0.168
2z4pcBLQXF2BXKFvd0BuB6,0.62
7Ed6BkggCS2KaKY5YlINaF,0.645
3T7dNA7O8c3Axj5WyDNcH3,0.849
7qiZfU4dY1lWllzX7mPBI3,0.931
2OALaHcDdKkjYEpAr0Qzab,0.229
1zsG4eaZmkA1dvjDDsAGLK,0.64
3whrwq4DtvucphBPUogRuJ,0.349
4dVpf9jZjcORqGTLUaeYj9,0.52
2fQrGHiQOvpL9UgPvtYy6G,0.376
0CcQNd8CINkwQfe1RDtGV6,0.708
3ncgNpxLoBQ65ABk4djDyd,0.287
3PEgB3fkiojxms35ntsTgs,0.544
0tKcYR2II1VCQWT79i5NrW,0.298
1Qg9jWGDkKAGZXj5v2OG59,0.407
1hvpDAxZPKjKztOc72sv06,0.349
0OlnLZY4cmQzT6ZGttvWBM,0.13
