track_id,valence
5hcisvFMidkMJlElTO9Qmw,0.676
6Za3190Sbw39BBC77WSS1C,0.839
33bnxcjePIkcmNjEFTJX0l,0.839
1m69ELEgE6k5ZWsap40ozt,0.693
6De0lHrwBfPfrhorm9q1Xl,0.426
7ofxPmTNMj2GP07g1VZa0O,0.817
1zsG4eaZmkA1dvjDDsAGLK,0.64
7JNh1cfm0eXjqFVOzKLyau,0.871
4lESS6vuruP6a79KWRaQou,0.765
0lJCqIx5BhZtf6QtYI2fbv,0.215
5TysCiZtv1HnSWcTcUFusI,0.695
3VClLWqNn80Llv0PJOsKgr,0.71
0JcNysfWVWaMS7R6vzGB2k,0.64
1KSqYYJFyfTecXFk9M0prc,0.787
0ERbK7qVqveCaBWIiYCrl3,0.749
693iqPOQvhI7PobtR8CC8v,0.884
1LszjjoVwDDZcWUQbzeDLG,0.64
3Ga6eKrUFf12ouh9Yw3v2D,0.619
5TmZYdHW6HJ9gt7Aokuql5,0.828
70lnL3QaSOIIyMa2X9aVRL,0.893
0yyZN5ASdrYu0XYWFzfxUu,0.624
22eADXu8DfOAUEDw4vU8qy,0.427
0qYTZCo5Bwh1nsUFGZP3zn,0.737
7MHN1aCFtLXjownGhvEQlF,0.86
5YzA563GXTuwQaRq24z1k5,0.746
7wGoVu4Dady5GV0Sv4UIsx,0.119
6ElmxV9B2mSNscEjP27M7i,0.632
0MIcPSq9n2z5H8TAfEstri,0.482
5q2JbCNi4FcnglgPfxcV65,0.767
5EId1m4DNwTf3at31w8bPJ,0.323
2rb5MvYT7ZIxbKW5hfcHx8,0.294
2ekn2ttSfGqwhhate0LSR0,0.656
5zSOVwaY3sVjnmLhuEfsuf,0.812
1nfyE13arjOuO54HH0zmqj,0.313
3t6j6WNv2OSn6qm5Vxynub,0.676
0ofbQMrRDsUaVKq2mGLEAb,0.418
7EmGUiUaOSGDnUUQUDrOXC,0.327
4N1c5rmWOzRmB9SMacr5wB,0.731
3whrwq4DtvucphBPUogRuJ,0.349
7Ckhk1XW5NV2k4jpqtQNlz,0.52
3hBBKuWJfxlIlnd9QFoC8k,0.393
7qiZfU4dY1lWllzX7mPBI3,0.931
1Ft13La2daEGqz5yWJC7lx,0.844
5ojXuKXBYq0apcNucYSDXq,0.496
3xWEI23MLJrD0dpDcDUTW6,0.506
63bmZnBN1CiJ9sA4qTEe8y,0.687
3QwBODjSEzelZyVjxPOHdq,0.704
209gZgcfLq2aUuu51vOWBl,0.433
4yN6xPLopmTLvc27pO9LIE,0.786
0H7cz1bR7w9PulJL7Na774,0.575
