track_id,valence
5hcisvFMidkMJlElTO9Qmw,0.676
2rrJfOphzn4uQCK9X0x6R6,0.26
6Za3190Sbw39BBC77WSS1C,0.839
6ElmxV9B2mSNscEjP27M7i,0.632
6De0lHrwBfPfrhorm9q1Xl,0.426
0lJCqIx5BhZtf6QtYI2fbv,0.215
1m69ELEgE6k5ZWsap40ozt,0.693
7JNh1cfm0eXjqFVOzKLyau,0.871
1zsG4eaZmkA1dvjDDsAGLK,0.64
7ofxPmTNMj2GP07g1VZa0O,0.817
33bnxcjePIkcmNjEFTJX0l,0.839
3VClLWqNn80Llv0PJOsKgr,0.71
0JcNysfWVWaMS7R6vzGB2k,0.64
4lESS6vuruP6a79KWRaQou,0.765
7wGoVu4Dady5GV0Sv4UIsx,0.119
1KSqYYJFyfTecXFk9M0prc,0.787
2ekn2ttSfGqwhhate0LSR0,0.656
0ERbK7qVqveCaBWIiYCrl3,0.749
0ofbQMrRDsUaVKq2mGLEAb,0.418
5EId1m4DNwTf3at31w8bPJ,0.323
3Ga6eKrUFf12ouh9Yw3v2D,0.619
693iqPOQvhI7PobtR8CC8v,0.884
1LszjjoVwDDZcWUQbzeDLG,0.64
43ZyHQITOjhciSUUNPVRHc,0.699
7MHN1aCFtLXjownGhvEQlF,0.86
0tgVpDi06FyKpA1z0VMD4v,0.168
5q2JbCNi4FcnglgPfxcV65,0.767
70lnL3QaSOIIyMa2X9aVRL,0.893
7qiZfU4dY1lWllzX7mPBI3,0.931
7EmGUiUaOSGDnUUQUDrOXC,0.327
3hBBKuWJfxlIlnd9QFoC8k,0.393
2rb5MvYT7ZIxbKW5hfcHx8,0.294
22eADXu8DfOAUEDw4vU8qy,0.427
3t6j6WNv2OSn6qm5Vxynub,0.676
1mXVgsBdtIVeCLJnSnmtdV,0.534
3hfpB94cfVvdLAnm8TUBAv,0.439
5TysCiZtv1HnSWcTcUFusI,0.695
0qYTZCo5Bwh1nsUFGZP3zn,0.737
63bmZnBN1CiJ9sA4qTEe8y,0.687
5TmZYdHW6HJ9gt7Aokuql5,0.828
7FfpP3YZ6fOWMdxkIAtud9,0.411
3whrwq4DtvucphBPUogRuJ,0.349
1bhUWB0zJMIKr9yVPrkEuI,0.356
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
3iDPALl8BoUbuXZgy6EOWY,0.5
11ZRYISCsAsLyyJo47DudZ,0.121
2FrnTVSHjgnEylKGdHRUK1,0.307
5zSOVwaY3sVjnmLhuEfsuf,0.812
6SIrNxmmdbv1KUbFBu1PaN,0.582
0QQNA8bZqefrGfsShzlZkb,0.479
