track_id,valence
7EmGUiUaOSGDnUUQUDrOXC,0.327
0ofbQMrRDsUaVKq2mGLEAb,0.418
1bhUWB0zJMIKr9yVPrkEuI,0.356
3hBBKuWJfxlIlnd9QFoC8k,0.393
5yFSF6qQA1rcLsQRnBsZgb,0.662
1mXVgsBdtIVeCLJnSnmtdV,0.534
7qiZfU4dY1lWllzX7mPBI3,0.931
6ju3FaV3aVLzGzwERKZuFK,0.89
0tgVpDi06FyKpA1z0VMD4v,0.168
3YU6vJbjYUG0tiJyXf9x5V,0.191
2ekn2ttSfGqwhhate0LSR0,0.656
5AEtlRudpgdT5FtNiuly6Y,0.71
6mrKP2jyIQmM0rw6fQryjr,0.437
6RUKPb4LETWmmr3iAEQktW,0.446
7wGoVu4Dady5GV0Sv4UIsx,0.119
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
0bYg9bo50gSsH3LtXe2SQn,0.346
7vGuf3Y35N4wmASOKLUVVU,0.286
2xmrfQpmS2iJExTlklLoAL,0.33
3VSFri2BxieCG7RtuxFMXr,0.503
0OlnLZY4cmQzT6ZGttvWBM,0.13
6VpQdig9pdpTSIFItgkJV5,0.264
53HxUdYRCRMdzYPG0qhGUP,0.347
0Zbbxnx4SGGHoIow4PpISP,0.419
2SLjuVYSrcUhZmpBokuupj,0.396
7Ed6BkggCS2KaKY5YlINaF,0.645
5uMkdWf1H6JEcpcdnPOSZM,0.427
4iLqG9SeJSnt0cSPICSjxv,0.777
2OALaHcDdKkjYEpAr0Qzab,0.229
7iDa6hUg2VgEL1o1HjmfBn,0.579
7EI6Iki24tBHAMxtb4xQN2,0.321
5CtI0qwDJkDQGwXD1H1cLb,0.813
6oHNXUrt4s5JJIM1WoOwsZ,0.284
42CeaId2XNlxugDvyqHfDf,0.434
1Qg9jWGDkKAGZXj5v2OG59,0.407
1eId3TVzGrwv73YAWAVQMX,0.403
7BKLCZ1jbUBVqRi2FVlTVw,0.661
0e3nb2Nttd12LNBhweuNms,0.261
7tqVnkKyVnkqlvkm4cBBdb,0.648
6LunoYd3xpZ19sICOXS8Xd,0.186
47RgWWTJno746wCInL4gQz,0.333
4F58voptx3uo1bNiJ6i1P9,0.204
1P17dC1amhFzptugyAO7Il,0.514
0OI7AFifLSoGzpb8bdBLLV,0.216
2raLh7W9GwFgJNeKoSPEJN,0.373
43ZyHQITOjhciSUUNPVRHc,0.699
68EMU2RD1ECNeOeJ5qAXCV,0.352
2wgF570uODvVSxfd8o3eRf,0.51
2FRnf9qhLbvw8fu4IBXx78,0.947
1ADjWm8QNhgNV8yCNNgQ1T,0.527
