track_id,valence
3YU6vJbjYUG0tiJyXf9x5V,0.191
7EmGUiUaOSGDnUUQUDrOXC,0.327
0ofbQMrRDsUaVKq2mGLEAb,0.418
7wGoVu4Dady5GV0Sv4UIsx,0.119
0bYg9bo50gSsH3LtXe2SQn,0.346
2ekn2ttSfGqwhhate0LSR0,0.656
1bhUWB0zJMIKr9yVPrkEuI,0.356
6mrKP2jyIQmM0rw6fQryjr,0.437
3hBBKuWJfxlIlnd9QFoC8k,0.393
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
1zsG4eaZmkA1dvjDDsAGLK,0.64
7vGuf3Y35N4wmASOKLUVVU,0.286
0Zbbxnx4SGGHoIow4PpISP,0.419
3PEgB3fkiojxms35ntsTgs,0.544
7qiZfU4dY1lWllzX7mPBI3,0.931
0tgVpDi06FyKpA1z0VMD4v,0.168
43ZyHQITOjhciSUUNPVRHc,0.699
2FRnf9qhLbvw8fu4IBXx78,0.947
2OALaHcDdKkjYEpAr0Qzab,0.229
5AEtlRudpgdT5FtNiuly6Y,0.71
2xmrfQpmS2iJExTlklLoAL,0.33
0tKcYR2II1VCQWT79i5NrW,0.298
6ju3FaV3aVLzGzwERKZuFK,0.89
0OlnLZY4cmQzT6ZGttvWBM,0.13
6QgjcU0zLnzq5OrUoSZ3OK,0.754
7iDa6hUg2VgEL1o1HjmfBn,0.579
7EI6Iki24tBHAMxtb4xQN2,0.321
0OI7AFifLSoGzpb8bdBLLV,0.216
2nUJvBO87SkxCViQsLc9Zr,0.633
1mXVgsBdtIVeCLJnSnmtdV,0.534
6VpQdig9pdpTSIFItgkJV5,0.264
5yFSF6qQA1rcLsQRnBsZgb,0.662
42CeaId2XNlxugDvyqHfDf,0.434
0CcQNd8CINkwQfe1RDtGV6,0.708
2Xqd0wUttjueBfdcltADOv,0.405
3T7dNA7O8c3Axj5WyDNcH3,0.849
3bWAqKDWg6u1davspr5IkS,0.583
1ADjWm8QNhgNV8yCNNgQ1T,0.527
75ZvA4QfFiZvzhj2xkaWAh,0.308
7sO5G9EABYOXQKNPNiE9NR,0.333
2rb5MvYT7ZIxbKW5hfcHx8,0.294
2z4pcBLQXF2BXKFvd0BuB6,0.62
0lLdorYw7lVrJydTINhWdI,0.381
0RTzJVkunbGwuRjXDFHnjf,0.5
6WbADFqMvR8N5u0BvtsWQE,0.279
1Qg9jWGDkKAGZXj5v2OG59,0.407
3B54sVLJ402zGa6Xm4YGNe,0.733
4IdXngKo4g5exqZ0fQTecu,0.751
4iLqG9SeJSnt0cSPICSjxv,0.777
5hslUAKq9I9CG2bAulFkHN,0.776
