track_id,valence
6WKPhv27SizinGt2nYk5Ar,0.717
5wetjrVoUDGhnCfzictqpE,0.556
1cPbUxHuNnSVQbukUrnY8O,0.188
6sIgHBjmtF5AgGa0av55Pn,0.589
7u2trOsaFQrFwbL9HH8tdR,0.578
6XSYMtvkAuRdnQm0F7i3Bq,0.711
7wGoVu4Dady5GV0Sv4UIsx,0.119
6lrYOMWfNuQMC0dcB6e7oE,0.0364
4h4pNMbBKfaIXyR9SY62Lm,0.909
0Dxbgb8aUV9EHOGJF4MXQy,0.555
2tUBa92HN6pkaOBgfCww4h,0.373
7tnaA3OaJ3a6UfXkcgpaIe,0.612
7m7XZr6lWbQyx6f20w3rjA,0.0811
2x4t2o6x5NVbR62v7BZPHG,0.205
2FRnf9qhLbvw8fu4IBXx78,0.947
1EOM0Hs4xjlfybpdkJYlGJ,0.64
0lLdorYw7lVrJydTINhWdI,0.381
1bhUWB0zJMIKr9yVPrkEuI,0.356
4fE7QQ2f3eah85HWaDGp7M,0.731
0bYg9bo50gSsH3LtXe2SQn,0.346
0uuFNtfwxv04AtdWYJ6wsW,0.0847
7iiP7OrzPN1JAkPKkJCThg,0.85
6uP2DBITa982EzgIWSrlDY,0.711
1XzdeTK7eQulR42YCb66La,0.439
1mXVgsBdtIVeCLJnSnmtdV,0.534
3WKzPqbHjr3l0hflRHTOvZ,0.641
4QQQy4piBADsklMVcueNAH,0.502
0ofbQMrRDsUaVKq2mGLEAb,0.418
2uxgB4UcIGA04GIfohHq6Y,0.896
2ILHXpt71eq7mmUPhXONkL,0.303
6mrKP2jyIQmM0rw6fQryjr,0.437
1R5nG2xdiSOFmOJ4lCLGbW,0.658
5z1oKKZ3Zc6ruukaTfDxNN,0.734
0tgVpDi06FyKpA1z0VMD4v,0.168
7F5GSOxvcP06wDcYeRVmV1,0.427
1ADjWm8QNhgNV8yCNNgQ1T,0.527
6AUvfF9stqeOi493oJDtlq,0.595
43ZyHQITOjhciSUUNPVRHc,0.699
3Ps8xWSv64Cx37gZRwzjjE,0.49
2KVcqOa2vBKJDIomchdR0C,0.474
31TVwUzPiMGzAo6YJfuTFi,0.562
3k3JOzKAMqaVjYFXf2Oglg,0.745
4ranVZMGU28qHZS6DBBdHc,0.404
1CEU0LnobnsmzS86Ly68eE,0.559
2ekn2ttSfGqwhhate0LSR0,0.656
3UYdR145K9dnygSKJqUk2d,0.346
24nlSZHHUx0XAzo7WDzUTa,0.416
3ZVJa3F60LHf7BokCfkJ3m,0.814
3zJw3rugfpVrmBeDDnUYzy,0.395
6EjxSaTMfPrYuyrsovUn3o,0.962
