track_id,valence
0ofbQMrRDsUaVKq2mGLEAb,0.418
0tgVpDi06FyKpA1z0VMD4v,0.168
1mXVgsBdtIVeCLJnSnmtdV,0.534
7EmGUiUaOSGDnUUQUDrOXC,0.327
2ekn2ttSfGqwhhate0LSR0,0.656
3hBBKuWJfxlIlnd9QFoC8k,0.393
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
1bhUWB0zJMIKr9yVPrkEuI,0.356
6ju3FaV3aVLzGzwERKZuFK,0.89
7vGuf3Y35N4wmASOKLUVVU,0.286
5yFSF6qQA1rcLsQRnBsZgb,0.662
5AEtlRudpgdT5FtNiuly6Y,0.71
5CwcXgsF9jcyqwkl5uxKnD,0.757
0tKcYR2II1VCQWT79i5NrW,0.298
7F9vK8hNFMml4GtHsaXui6,0.645
2xmrfQpmS2iJExTlklLoAL,0.33
5Z3GHaZ6ec9bsiI5BenrbY,0.394
5KTWREZTovnyIsWx09bxps,0.656
6mrKP2jyIQmM0rw6fQryjr,0.437
3PEgB3fkiojxms35ntsTgs,0.544
0OlnLZY4cmQzT6ZGttvWBM,0.13
0NiXXAI876aGImAd6rTj8w,0.557
4iLqG9SeJSnt0cSPICSjxv,0.777
2OALaHcDdKkjYEpAr0Qzab,0.229
0Zbbxnx4SGGHoIow4PpISP,0.419
7iDa6hUg2VgEL1o1HjmfBn,0.579
5bcTCxgc7xVfSaMV3RuVke,0.872
1wjzFQodRWrPcQ0AnYnvQ9,0.419
23V8GLR7IHBzc4ipiT5Zl2,0.519
7qiZfU4dY1lWllzX7mPBI3,0.931
4v094LQ9eF10k2O2Te2ngK,0.194
7Ed6BkggCS2KaKY5YlINaF,0.645
0RGUIOZtmOXTWOy5EjvQbP,0.528
7wGoVu4Dady5GV0Sv4UIsx,0.119
6jA8HL9i4QGzsj6fjoxp8Y,0.13
3YU6vJbjYUG0tiJyXf9x5V,0.191
6RUKPb4LETWmmr3iAEQktW,0.446
3DXncPQOG4VBw3QHh3S817,0.811
1NDxZ7cFAo481dtYWdrUnR,0.733
7qiVdTMCRynOSQDNsqNyyV,0.165
6rB2whUL8s2Kt3wIxsnCGf,0.581
0urpBLpcm6DOGzs86rcKd8,0.463
3A7qX2QjDlPnazUsRk5y0M,0.557
4lCtZZktwgQqzCoJxK3ZxR,0.299
0Wv5wuenRLI3BcwgT3HPIP,0.564
4Tulf6yVo59f2ofSi3YUqW,0.581
6WbADFqMvR8N5u0BvtsWQE,0.279
7krbSH3rd8lhIZvuzTV3Bl,0.238
3m660poUr1chesgkkjQM7P,0.863
2GlAH40dBbcSUEtK9uyFu0,0.589
