track_id,valence
1bhUWB0zJMIKr9yVPrkEuI,0.356
6mrKP2jyIQmM0rw6fQryjr,0.437
7wGoVu4Dady5GV0Sv4UIsx,0.119
0bYg9bo50gSsH3LtXe2SQn,0.346
0ofbQMrRDsUaVKq2mGLEAb,0.418
3VTNVsTTu05dmTsVFrmGpK,0.474
2FRnf9qhLbvw8fu4IBXx78,0.947
7EI6Iki24tBHAMxtb4xQN2,0.321
7EmGUiUaOSGDnUUQUDrOXC,0.327
2xmrfQpmS2iJExTlklLoAL,0.33
2ekn2ttSfGqwhhate0LSR0,0.656
7vGuf3Y35N4wmASOKLUVVU,0.286
15DwFznkBJir7AK9PyMyRR,0.667
1hvpDAxZPKjKztOc72sv06,0.349
75ZvA4QfFiZvzhj2xkaWAh,0.308
1HrMWH5GUdK6Yi94rbANJA,0.444
2nUJvBO87SkxCViQsLc9Zr,0.633
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
5AEtlRudpgdT5FtNiuly6Y,0.71
1mXVgsBdtIVeCLJnSnmtdV,0.534
0tgVpDi06FyKpA1z0VMD4v,0.168
0lLdorYw7lVrJydTINhWdI,0.381
0Zbbxnx4SGGHoIow4PpISP,0.419
5Z3GHaZ6ec9bsiI5BenrbY,0.394
3T7dNA7O8c3Axj5WyDNcH3,0.849
3hBBKuWJfxlIlnd9QFoC8k,0.393
2z4pcBLQXF2BXKFvd0BuB6,0.62
6ju3FaV3aVLzGzwERKZuFK,0.89
3YU6vJbjYUG0tiJyXf9x5V,0.191
1ADjWm8QNhgNV8yCNNgQ1T,0.527
2OALaHcDdKkjYEpAr0Qzab,0.229
3B54sVLJ402zGa6Xm4YGNe,0.733
7krbSH3rd8lhIZvuzTV3Bl,0.238
7qiZfU4dY1lWllzX7mPBI3,0.931
3zJw3rugfpVrmBeDDnUYzy,0.395
3YQUpKTmtgPJf8u6ooi9KA,0.814
6pWzEnoUsuiTcp6odVDovx,0.533
43ZyHQITOjhciSUUNPVRHc,0.699
2ISl1zekPsc26sUQpVt8UB,0.962
42CeaId2XNlxugDvyqHfDf,0.434
6VpQdig9pdpTSIFItgkJV5,0.264
5tz69p7tJuGPeMGwNTxYuV,0.386
3a1lNhkSLSkpJE4MSHpDu9,0.504
4so0Wek9Ig1p6CRCHuINwW,0.236
0Qh38w01QRXK6KHIv0e3hb,0.187
1snx5tOQTxN49AyEqMYopU,0.67
32OWobmyAz8J2qA8iWekyS,0.881
5hslUAKq9I9CG2bAulFkHN,0.776
4gavOCQdZ2g86gkvi17FM7,0.771
0ZoHHROTzwIYeNAHRPedTY,0.89
