track_id,valence
5IKWRPO5NGaeNIXF4rkbfZ,0.53
6T7auXdjnEFnifaWc796YQ,0.265
7kK2m2KDEL0W8oFq6fuOcf,0.655
03PDOt4cRKQgpYfA9I9wnC,0.71
0ofbQMrRDsUaVKq2mGLEAb,0.418
7wGoVu4Dady5GV0Sv4UIsx,0.119
1bhUWB0zJMIKr9yVPrkEuI,0.356
0tgVpDi06FyKpA1z0VMD4v,0.168
3hBBKuWJfxlIlnd9QFoC8k,0.393
4f7xpneUOcob0RoRyae6ax,0.0883
31ZxBLg6StdqVkvNAZ1eRu,0.452
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
2x82H3RSJRRQKZDMFlIpG3,0.596
6De0lHrwBfPfrhorm9q1Xl,0.426
2lDgdWIGLYuk74pDeRPgPF,0.919
2ekn2ttSfGqwhhate0LSR0,0.656
1lwpe8mLgHhytakM7m6R3W,0.523
1zsG4eaZmkA1dvjDDsAGLK,0.64
7lA4RALtzRl7IrqSVm96AY,0.142
6m7ia7vhUezCfa1xWusWSF,0.228
0iOHkI1AyDXfDeoXEFaP2e,0.339
64kdCC2kt1EhlePTTWe70B,0.22
0bYg9bo50gSsH3LtXe2SQn,0.346
7EmGUiUaOSGDnUUQUDrOXC,0.327
1mXVgsBdtIVeCLJnSnmtdV,0.534
7uVq49zkZEC4hI0v2exJv8,0.509
6mrKP2jyIQmM0rw6fQryjr,0.437
6cjyaU5VscMdHi69q2w5Fo,0.491
3PEgB3fkiojxms35ntsTgs,0.544
4IWAyPf1KMq7JCyGeCjTeH,0.537
4nnu4hEwa5oejaEMpizXxY,0.862
0Zs06SptpZ4B56rkvEy25X,0.79
7flx8835YXeRbhFBGaZ42g,0.288
5xyExId5XWZplBvjmbIuy6,0.57
0wBlRxVSWAPgezz4ZYDrGT,0.553
6lOWoTqVnAWXchddtTH31W,0.267
3LiceACnr4J5R6BHVJFpka,0.306
4s5lq4IBuuudq67hg8TVtc,0.69
0obKdyLE89Hrry8slkX9Ey,0.296
7qiZfU4dY1lWllzX7mPBI3,0.931
6CpNFssMc4OOKJ1mXlXD0o,0.278
0tKcYR2II1VCQWT79i5NrW,0.298
6RUKPb4LETWmmr3iAEQktW,0.446
2rb5MvYT7ZIxbKW5hfcHx8,0.294
1S2VLr8j9KVbroLn76RF4i,0.924
43ZyHQITOjhciSUUNPVRHc,0.699
2NF8A7C6tICScdRaZ0BrEe,0.87
2FRnf9qhLbvw8fu4IBXx78,0.947
35d9hbSsVSp71DECLUSg9V,0.563
6ju3FaV3aVLzGzwERKZuFK,0.89
