track_id,valence
7qiZfU4dY1lWllzX7mPBI3,0.931
7pcTLUekZJQnzDOUDuExVJ,0.261
7EmGUiUaOSGDnUUQUDrOXC,0.327
3hBBKuWJfxlIlnd9QFoC8k,0.393
2ekn2ttSfGqwhhate0LSR0,0.656
2gasr6aemUqZIBBN05EO03,0.693
0ofbQMrRDsUaVKq2mGLEAb,0.418
46gSY0U7ZZCmd7EuJuo15N,0.533
0YAMQSmHk6BSUGTYpaoqTJ,0.288
0bYg9bo50gSsH3LtXe2SQn,0.346
5AEtlRudpgdT5FtNiuly6Y,0.71
7CmWXD3w1xOO53AAO4LRVQ,0.451
6ju3FaV3aVLzGzwERKZuFK,0.89
0dA2Mk56wEzDgegdC6R17g,0.498
1bhUWB0zJMIKr9yVPrkEuI,0.356
0PAyiPTz8gL0udQnSasc5G,0.331
2OALaHcDdKkjYEpAr0Qzab,0.229
4Eb5cLWxKQUoUQaKUYSRgI,0.394
5Bg0HkfaRYRx8A7tMrjT9Z,0.535
7BKLCZ1jbUBVqRi2FVlTVw,0.661
40cPkRjw5aLQIOjaqgUVnB,0.482
7vwXjDrZT2mqiFynlEwwgG,0.525
6PO8T4qt3FHfauSs98zO9j,0.537
0ve9Tpz8Yw0I4eXhWsy21o,0.618
1mXVgsBdtIVeCLJnSnmtdV,0.534
4iLqG9SeJSnt0cSPICSjxv,0.777
0tgVpDi06FyKpA1z0VMD4v,0.168
1x5sYLZiu9r5E43kMlt9f8,0.457
6RUKPb4LETWmmr3iAEQktW,0.446
468Jl0mOuztlhQDKMhO8Rq,0.432
66KjxbYrSBdnxJcHjnLM7o,0.831
7swIKcU4tFRk4iFJpi12Fg,0.549
3m660poUr1chesgkkjQM7P,0.863
7nZmah2llfvLDiUjm0kiyz,0.649
7iXHLtPosbHvglVSJ4rxLq,0.425
2xmrfQpmS2iJExTlklLoAL,0.33
5CtI0qwDJkDQGwXD1H1cLb,0.813
0mf82mK5aeZm4vN9HM2InQ,0.253
7ztdl6cnbJgHRdMkKldkts,0.338
4m8ayeTlVnsYAtR42NhDqZ,0.625
7wGoVu4Dady5GV0Sv4UIsx,0.119
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
1P17dC1amhFzptugyAO7Il,0.514
6q2cJXwzu89N8okT69L7KC,0.671
6CU3VvoeQgkg4Wb1vS0zj7,0.267
0Zbbxnx4SGGHoIow4PpISP,0.419
6IxWbmElUUj7AstEEzIgtl,0.792
3pzjHKrQSvXGHQ98dx18HI,0.793
2FRnf9qhLbvw8fu4IBXx78,0.947
7vGuf3Y35N4wmASOKLUVVU,0.286
