track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
022vRxnKGrZnWEdip4mYJD,0.586
3YU6vJbjYUG0tiJyXf9x5V,0.191
7EmGUiUaOSGDnUUQUDrOXC,0.327
0bYg9bo50gSsH3LtXe2SQn,0.346
1bhUWB0zJMIKr9yVPrkEuI,0.356
6mrKP2jyIQmM0rw6fQryjr,0.437
7vGuf3Y35N4wmASOKLUVVU,0.286
43ZyHQITOjhciSUUNPVRHc,0.699
75ZvA4QfFiZvzhj2xkaWAh,0.308
0ofbQMrRDsUaVKq2mGLEAb,0.418
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
1mXVgsBdtIVeCLJnSnmtdV,0.534
2FRnf9qhLbvw8fu4IBXx78,0.947
42CeaId2XNlxugDvyqHfDf,0.434
2xmrfQpmS2iJExTlklLoAL,0.33
0Zbbxnx4SGGHoIow4PpISP,0.419
2ekn2ttSfGqwhhate0LSR0,0.656
3hBBKuWJfxlIlnd9QFoC8k,0.393
6QgjcU0zLnzq5OrUoSZ3OK,0.754
3T7dNA7O8c3Axj5WyDNcH3,0.849
6NWl2m8asvH83xjuXVNsuG,0.277
2qgUF9fPrq5ZnHY6PxZdIi,0.329
7iDa6hUg2VgEL1o1HjmfBn,0.579
7EI6Iki24tBHAMxtb4xQN2,0.321
5rwsJbBNa8SfPW4oFA1GjP,0.233
7KXjTSCq5nL1LoYtL7XAwS,0.4
7GX5flRQZVHRAGd6B4TmDO,0.401
2Xqd0wUttjueBfdcltADOv,0.405
5AEtlRudpgdT5FtNiuly6Y,0.71
5kmjCcpcT0xAB5zzqkrIZw,0.532
0tgVpDi06FyKpA1z0VMD4v,0.168
6mbTKx1U7LjAhfOL7EbVxf,0.163
3a1lNhkSLSkpJE4MSHpDu9,0.504
7sO5G9EABYOXQKNPNiE9NR,0.333
0OI7AFifLSoGzpb8bdBLLV,0.216
1hvpDAxZPKjKztOc72sv06,0.349
2fQrGHiQOvpL9UgPvtYy6G,0.376
5tz69p7tJuGPeMGwNTxYuV,0.386
0tKcYR2II1VCQWT79i5NrW,0.298
5hslUAKq9I9CG2bAulFkHN,0.776
6sn8WaooLLVhQvU96wtEAm,0.145
1ADjWm8QNhgNV8yCNNgQ1T,0.527
4IdXngKo4g5exqZ0fQTecu,0.751
6ju3FaV3aVLzGzwERKZuFK,0.89
3B54sVLJ402zGa6Xm4YGNe,0.733
2OALaHcDdKkjYEpAr0Qzab,0.229
2nUJvBO87SkxCViQsLc9Zr,0.633
22fRl49GSpRdu3J2EPj1i6,0.112
6VpQdig9pdpTSIFItgkJV5,0.264
