track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
7EmGUiUaOSGDnUUQUDrOXC,0.327
3YU6vJbjYUG0tiJyXf9x5V,0.191
1bhUWB0zJMIKr9yVPrkEuI,0.356
0bYg9bo50gSsH3LtXe2SQn,0.346
6mrKP2jyIQmM0rw6fQryjr,0.437
3hBBKuWJfxlIlnd9QFoC8k,0.393
7EI6Iki24tBHAMxtb4xQN2,0.321
0ofbQMrRDsUaVKq2mGLEAb,0.418
2FRnf9qhLbvw8fu4IBXx78,0.947
2ekn2ttSfGqwhhate0LSR0,0.656
7vGuf3Y35N4wmASOKLUVVU,0.286
2xmrfQpmS2iJExTlklLoAL,0.33
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
75ZvA4QfFiZvzhj2xkaWAh,0.308
0Zbbxnx4SGGHoIow4PpISP,0.419
43ZyHQITOjhciSUUNPVRHc,0.699
1mXVgsBdtIVeCLJnSnmtdV,0.534
6QgjcU0zLnzq5OrUoSZ3OK,0.754
42CeaId2XNlxugDvyqHfDf,0.434
7iDa6hUg2VgEL1o1HjmfBn,0.579
5AEtlRudpgdT5FtNiuly6Y,0.71
3T7dNA7O8c3Axj5WyDNcH3,0.849
6VpQdig9pdpTSIFItgkJV5,0.264
5yFSF6qQA1rcLsQRnBsZgb,0.662
6ju3FaV3aVLzGzwERKZuFK,0.89
2OALaHcDdKkjYEpAr0Qzab,0.229
2Xqd0wUttjueBfdcltADOv,0.405
1Qg9jWGDkKAGZXj5v2OG59,0.407
0tgVpDi06FyKpA1z0VMD4v,0.168
7sO5G9EABYOXQKNPNiE9NR,0.333
4IdXngKo4g5exqZ0fQTecu,0.751
1zsG4eaZmkA1dvjDDsAGLK,0.64
1ADjWm8QNhgNV8yCNNgQ1T,0.527
0OI7AFifLSoGzpb8bdBLLV,0.216
0OlnLZY4cmQzT6ZGttvWBM,0.13
1hvpDAxZPKjKztOc72sv06,0.349
6NWl2m8asvH83xjuXVNsuG,0.277
7KXjTSCq5nL1LoYtL7XAwS,0.4
0tKcYR2II1VCQWT79i5NrW,0.298
5hslUAKq9I9CG2bAulFkHN,0.776
0lLdorYw7lVrJydTINhWdI,0.381
2z4pcBLQXF2BXKFvd0BuB6,0.62
7inXu0Eaeg02VsM8kHNvzM,0.844
7y9iMe8SOB6z3NoHE2OfXl,0.607
7qiZfU4dY1lWllzX7mPBI3,0.931
2fQrGHiQOvpL9UgPvtYy6G,0.376
4so0Wek9Ig1p6CRCHuINwW,0.236
3a1lNhkSLSkpJE4MSHpDu9,0.504
2nUJvBO87SkxCViQsLc9Zr,0.633
