track_id,valence
0ofbQMrRDsUaVKq2mGLEAb,0.418
7EmGUiUaOSGDnUUQUDrOXC,0.327
0tgVpDi06FyKpA1z0VMD4v,0.168
1mXVgsBdtIVeCLJnSnmtdV,0.534
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
3hBBKuWJfxlIlnd9QFoC8k,0.393
2ekn2ttSfGqwhhate0LSR0,0.656
6ju3FaV3aVLzGzwERKZuFK,0.89
5yFSF6qQA1rcLsQRnBsZgb,0.662
1bhUWB0zJMIKr9yVPrkEuI,0.356
5AEtlRudpgdT5FtNiuly6Y,0.71
6mrKP2jyIQmM0rw6fQryjr,0.437
5Z3GHaZ6ec9bsiI5BenrbY,0.394
7vGuf3Y35N4wmASOKLUVVU,0.286
0RGUIOZtmOXTWOy5EjvQbP,0.528
0OlnLZY4cmQzT6ZGttvWBM,0.13
7F9vK8hNFMml4GtHsaXui6,0.645
7Ed6BkggCS2KaKY5YlINaF,0.645
7wGoVu4Dady5GV0Sv4UIsx,0.119
3YU6vJbjYUG0tiJyXf9x5V,0.191
2xmrfQpmS2iJExTlklLoAL,0.33
7iDa6hUg2VgEL1o1HjmfBn,0.579
7qiZfU4dY1lWllzX7mPBI3,0.931
1wjzFQodRWrPcQ0AnYnvQ9,0.419
4iLqG9SeJSnt0cSPICSjxv,0.777
0NXpqHfde4FTBF6O1Cvq4U,0.646
7y4JznkAv2W3IKw9T1o2VK,0.321
0Zbbxnx4SGGHoIow4PpISP,0.419
6VpQdig9pdpTSIFItgkJV5,0.264
2OALaHcDdKkjYEpAr0Qzab,0.229
5uCax9HTNlzGybIStD3vDh,0.494
5o6StwqqVfG3vRLx8UP310,0.515
7EI6Iki24tBHAMxtb4xQN2,0.321
6RUKPb4LETWmmr3iAEQktW,0.446
0NiXXAI876aGImAd6rTj8w,0.557
5bcTCxgc7xVfSaMV3RuVke,0.872
43ZyHQITOjhciSUUNPVRHc,0.699
0tKcYR2II1VCQWT79i5NrW,0.298
6fxVffaTuwjgEk5h9QyRjy,0.201
5gIRPQWULwrvIt0F6pY7ph,0.506
6jA8HL9i4QGzsj6fjoxp8Y,0.13
6EpRaXYhGOB3fj4V2uDkMJ,0.527
1x5sYLZiu9r5E43kMlt9f8,0.457
2nUJvBO87SkxCViQsLc9Zr,0.633
5CtI0qwDJkDQGwXD1H1cLb,0.813
0Wv5wuenRLI3BcwgT3HPIP,0.564
5uu28fUesZMl89lf9CLrgN,0.292
3A7qX2QjDlPnazUsRk5y0M,0.557
7krbSH3rd8lhIZvuzTV3Bl,0.238
7q8jJ1XZEliBakZSUMFde5,0.353
