track_id,valence
4VrdVTo3orGOWWUCZxrK90,0.476
3e0gMtgOOLGPFLzPWR7xzb,0.381
0bYg9bo50gSsH3LtXe2SQn,0.346
5VjqFNoLNl0xvG50diCuwx,0.725
5kvzEqShooIhg1D3KMBa7U,0.809
7wGoVu4Dady5GV0Sv4UIsx,0.119
2FRnf9qhLbvw8fu4IBXx78,0.947
0ofbQMrRDsUaVKq2mGLEAb,0.418
7EmGUiUaOSGDnUUQUDrOXC,0.327
1bhUWB0zJMIKr9yVPrkEuI,0.356
4QXLXEcGPl18ghSz4cSEzP,0.757
4tNpAeDH7S7cJGEo28Ogi4,0.669
1JVBWi7RXdqEjIy3vKTXgG,0.34
0tgVpDi06FyKpA1z0VMD4v,0.168
2ekn2ttSfGqwhhate0LSR0,0.656
1mXVgsBdtIVeCLJnSnmtdV,0.534
0Zbbxnx4SGGHoIow4PpISP,0.419
6mrKP2jyIQmM0rw6fQryjr,0.437
0eki4ryWM1aGA5596xT2Hx,0.677
7vGuf3Y35N4wmASOKLUVVU,0.286
3AkhtRarPRwQ2lAzvnH64n,0.617
2xmrfQpmS2iJExTlklLoAL,0.33
43pg0oNIUwWBCFGZSkomaE,0.31
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
3UPsdBBqs9vnVF0fYTGA8n,0.711
3hBBKuWJfxlIlnd9QFoC8k,0.393
65ExBcuMthmxRVnPVvWCe3,0.872
2SdXCB4OPo6J6Yc7V249pS,0.749
3hHHaTr65mG7bpApRW5CZQ,0.679
7qiZfU4dY1lWllzX7mPBI3,0.931
1ADjWm8QNhgNV8yCNNgQ1T,0.527
1hvpDAxZPKjKztOc72sv06,0.349
0vWl45YGcqenHMvxMKeB4L,0.753
7sMPXHS84uuTGeb21IgXnU,0.384
1X8py2jInjgIQ9Y9roDQZC,0.901
7EI6Iki24tBHAMxtb4xQN2,0.321
5PB8zB1MOZASboLquvinMF,0.651
43ZyHQITOjhciSUUNPVRHc,0.699
5AEtlRudpgdT5FtNiuly6Y,0.71
2OALaHcDdKkjYEpAr0Qzab,0.229
2nUJvBO87SkxCViQsLc9Zr,0.633
6ju3FaV3aVLzGzwERKZuFK,0.89
0ZoHHROTzwIYeNAHRPedTY,0.89
32OWobmyAz8J2qA8iWekyS,0.881
260azNxQzQIloG7OpjQtTC,0.716
3B54sVLJ402zGa6Xm4YGNe,0.733
0lLdorYw7lVrJydTINhWdI,0.381
4gavOCQdZ2g86gkvi17FM7,0.771
6QgjcU0zLnzq5OrUoSZ3OK,0.754
0Qh38w01QRXK6KHIv0e3hb,0.187
