track_id,valence
75ZvA4QfFiZvzhj2xkaWAh,0.308
7wGoVu4Dady5GV0Sv4UIsx,0.119
0ofbQMrRDsUaVKq2mGLEAb,0.418
7vGuf3Y35N4wmASOKLUVVU,0.286
6mrKP2jyIQmM0rw6fQryjr,0.437
5YOqfElMeshCt5oRk4yAgx,0.593
3hBBKuWJfxlIlnd9QFoC8k,0.393
1bhUWB0zJMIKr9yVPrkEuI,0.356
42CeaId2XNlxugDvyqHfDf,0.434
2ekn2ttSfGqwhhate0LSR0,0.656
7EmGUiUaOSGDnUUQUDrOXC,0.327
7iDa6hUg2VgEL1o1HjmfBn,0.579
5Z3GHaZ6ec9bsiI5BenrbY,0.394
5AEtlRudpgdT5FtNiuly6Y,0.71
6QgjcU0zLnzq5OrUoSZ3OK,0.754
1mXVgsBdtIVeCLJnSnmtdV,0.534
6ju3FaV3aVLzGzwERKZuFK,0.89
43ZyHQITOjhciSUUNPVRHc,0.699
0bYg9bo50gSsH3LtXe2SQn,0.346
1wjzFQodRWrPcQ0AnYnvQ9,0.419
0tgVpDi06FyKpA1z0VMD4v,0.168
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
3YU6vJbjYUG0tiJyXf9x5V,0.191
7qiZfU4dY1lWllzX7mPBI3,0.931
2nUJvBO87SkxCViQsLc9Zr,0.633
2Za1AlJNvksouPPWbXpR2X,0.268
3a1lNhkSLSkpJE4MSHpDu9,0.504
2xmrfQpmS2iJExTlklLoAL,0.33
2rE9TX3VQ0WNt7kziFhKep,0.172
3m660poUr1chesgkkjQM7P,0.863
7EI6Iki24tBHAMxtb4xQN2,0.321
0tKcYR2II1VCQWT79i5NrW,0.298
4GtxDqRqnAmHtmyPhSmXY4,0.506
1kpSmoMmNm3pcCU7MTTpoJ,0.608
5tz69p7tJuGPeMGwNTxYuV,0.386
7mldq42yDuxiUNn08nvzHO,0.631
2Xqd0wUttjueBfdcltADOv,0.405
2OALaHcDdKkjYEpAr0Qzab,0.229
3B54sVLJ402zGa6Xm4YGNe,0.733
0CokSRCu5hZgPxcZBaEzVE,0.356
7GX5flRQZVHRAGd6B4TmDO,0.401
7KXjTSCq5nL1LoYtL7XAwS,0.4
0Zbbxnx4SGGHoIow4PpISP,0.419
2FRnf9qhLbvw8fu4IBXx78,0.947
7nZmah2llfvLDiUjm0kiyz,0.649
152lZdxL1OR0ZMW6KquMif,0.326
25qfmrJIuw6TAvXoZ0phzb,0.722
5zv8uI8Oz6ZMx6DjB4lDgJ,0.527
3ojTJaonfkL96iIWa47SU3,0.565
5WoaF1B5XIEnWfmb5NZikf,0.183
