track_id,valence
13LoCHeSbhEO3YPyMxjgSY,0.364
5yFSF6qQA1rcLsQRnBsZgb,0.662
0bYg9bo50gSsH3LtXe2SQn,0.346
7wGoVu4Dady5GV0Sv4UIsx,0.119
3E0fq2gqsNbQo5paAuEcmc,0.43
2FRnf9qhLbvw8fu4IBXx78,0.947
3RCmmEy8PKGUdTo6VA6rqW,0.209
7FIcIjKaQJpy0vWWFZMZGH,0.334
6mrKP2jyIQmM0rw6fQryjr,0.437
7iDa6hUg2VgEL1o1HjmfBn,0.579
0WFyQgDzbQCfJuxcHW4Zrt,0.36
7EmGUiUaOSGDnUUQUDrOXC,0.327
1bhUWB0zJMIKr9yVPrkEuI,0.356
0lLdorYw7lVrJydTINhWdI,0.381
0ZoHHROTzwIYeNAHRPedTY,0.89
32OWobmyAz8J2qA8iWekyS,0.881
2E5oh2pPuvcx0WCQa6s7T2,0.44
0Zbbxnx4SGGHoIow4PpISP,0.419
3E6Ydoy1H8ePoigc10Mgsa,0.326
7vGuf3Y35N4wmASOKLUVVU,0.286
1zsG4eaZmkA1dvjDDsAGLK,0.64
0tgVpDi06FyKpA1z0VMD4v,0.168
3VTNVsTTu05dmTsVFrmGpK,0.474
74yQRKUunP1sRjnnMks4SG,0.655
0eekaX32hUmJgcinPCL1iZ,0.577
0FZHpDOVQ8N1HJLahZsTT1,0.574
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
3hBBKuWJfxlIlnd9QFoC8k,0.393
3YU6vJbjYUG0tiJyXf9x5V,0.191
4aSfgWmRa9KsISD4Jmx7QB,0.487
60krsAHBHlf1eMEdZpaybn,0.22
4fzyvSu73BhGvi96p2zwjL,0.237
0zCU35nRISaqZqlUXNEL5Z,0.186
0Clb9aiXWa0dvVff5aN4VN,0.537
6QgjcU0zLnzq5OrUoSZ3OK,0.754
2xmrfQpmS2iJExTlklLoAL,0.33
0ofbQMrRDsUaVKq2mGLEAb,0.418
2nUJvBO87SkxCViQsLc9Zr,0.633
6aG68QSwv0hgNTq90I2GOE,0.341
5TZoUICdwK1NE7Pn5B2Hma,0.131
7Hz6LLOVxrojLPIHJJ1S0E,0.317
0OI7AFifLSoGzpb8bdBLLV,0.216
2DGa7iaidT5s0qnINlwMjJ,0.198
1mXVgsBdtIVeCLJnSnmtdV,0.534
5tz69p7tJuGPeMGwNTxYuV,0.386
0xZNXAlGkRrBm9yi4xJHGi,0.434
3zJw3rugfpVrmBeDDnUYzy,0.395
2ekn2ttSfGqwhhate0LSR0,0.656
43ZyHQITOjhciSUUNPVRHc,0.699
3AlpkljBS1AU7HFVPms8K6,0.707
