track_id,valence
5hcisvFMidkMJlElTO9Qmw,0.676
1zsG4eaZmkA1dvjDDsAGLK,0.64
6Za3190Sbw39BBC77WSS1C,0.839
1m69ELEgE6k5ZWsap40ozt,0.693
33bnxcjePIkcmNjEFTJX0l,0.839
6ElmxV9B2mSNscEjP27M7i,0.632
7JNh1cfm0eXjqFVOzKLyau,0.871
6De0lHrwBfPfrhorm9q1Xl,0.426
5TysCiZtv1HnSWcTcUFusI,0.695
7ofxPmTNMj2GP07g1VZa0O,0.817
0lJCqIx5BhZtf6QtYI2fbv,0.215
4lESS6vuruP6a79KWRaQou,0.765
0JcNysfWVWaMS7R6vzGB2k,0.64
3VClLWqNn80Llv0PJOsKgr,0.71
3Ga6eKrUFf12ouh9Yw3v2D,0.619
7wGoVu4Dady5GV0Sv4UIsx,0.119
0MIcPSq9n2z5H8TAfEstri,0.482
0ofbQMrRDsUaVKq2mGLEAb,0.418
0ERbK7qVqveCaBWIiYCrl3,0.749
1KSqYYJFyfTecXFk9M0prc,0.787
70lnL3QaSOIIyMa2X9aVRL,0.893
5Y9fnynLlIvqtM710MHzfz,0.626
5EId1m4DNwTf3at31w8bPJ,0.323
2ekn2ttSfGqwhhate0LSR0,0.656
1LszjjoVwDDZcWUQbzeDLG,0.64
3whrwq4DtvucphBPUogRuJ,0.349
22eADXu8DfOAUEDw4vU8qy,0.427
43ZyHQITOjhciSUUNPVRHc,0.699
693iqPOQvhI7PobtR8CC8v,0.884
5zSOVwaY3sVjnmLhuEfsuf,0.812
5TmZYdHW6HJ9gt7Aokuql5,0.828
7EmGUiUaOSGDnUUQUDrOXC,0.327
3hBBKuWJfxlIlnd9QFoC8k,0.393
2rb5MvYT7ZIxbKW5hfcHx8,0.294
7MHN1aCFtLXjownGhvEQlF,0.86
7qiZfU4dY1lWllzX7mPBI3,0.931
0qYTZCo5Bwh1nsUFGZP3zn,0.737
0yyZN5ASdrYu0XYWFzfxUu,0.624
1bhUWB0zJMIKr9yVPrkEuI,0.356
5q2JbCNi4FcnglgPfxcV65,0.767
1mXVgsBdtIVeCLJnSnmtdV,0.534
4N1c5rmWOzRmB9SMacr5wB,0.731
0tgVpDi06FyKpA1z0VMD4v,0.168
6m2LNopVJKsvBB9l7Z1rwn,0.367
7Ckhk1XW5NV2k4jpqtQNlz,0.52
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
6SIrNxmmdbv1KUbFBu1PaN,0.582
6f4UPdDBQONKJBRqwZGjaJ,0.646
5YzA563GXTuwQaRq24z1k5,0.746
7FfpP3YZ6fOWMdxkIAtud9,0.411
