track_id,valence
5hcisvFMidkMJlElTO9Qmw,0.676
33bnxcjePIkcmNjEFTJX0l,0.839
6Za3190Sbw39BBC77WSS1C,0.839
4lESS6vuruP6a79KWRaQou,0.765
1m69ELEgE6k5ZWsap40ozt,0.693
0lJCqIx5BhZtf6QtYI2fbv,0.215
1zsG4eaZmkA1dvjDDsAGLK,0.64
7ofxPmTNMj2GP07g1VZa0O,0.817
2rrJfOphzn4uQCK9X0x6R6,0.26
0ERbK7qVqveCaBWIiYCrl3,0.749
7JNh1cfm0eXjqFVOzKLyau,0.871
0MIcPSq9n2z5H8TAfEstri,0.482
3VClLWqNn80Llv0PJOsKgr,0.71
6De0lHrwBfPfrhorm9q1Xl,0.426
1LszjjoVwDDZcWUQbzeDLG,0.64
70lnL3QaSOIIyMa2X9aVRL,0.893
5q2JbCNi4FcnglgPfxcV65,0.767
3Ga6eKrUFf12ouh9Yw3v2D,0.619
0JcNysfWVWaMS7R6vzGB2k,0.64
7Ckhk1XW5NV2k4jpqtQNlz,0.52
5TysCiZtv1HnSWcTcUFusI,0.695
5EId1m4DNwTf3at31w8bPJ,0.323
1KSqYYJFyfTecXFk9M0prc,0.787
6ElmxV9B2mSNscEjP27M7i,0.632
22eADXu8DfOAUEDw4vU8qy,0.427
649tz8MtbCHSTEzNBw7c1Q,0.384
0ofbQMrRDsUaVKq2mGLEAb,0.418
693iqPOQvhI7PobtR8CC8v,0.884
6SIrNxmmdbv1KUbFBu1PaN,0.582
5YzA563GXTuwQaRq24z1k5,0.746
5zSOVwaY3sVjnmLhuEfsuf,0.812
3iDPALl8BoUbuXZgy6EOWY,0.5
7MHN1aCFtLXjownGhvEQlF,0.86
2ekn2ttSfGqwhhate0LSR0,0.656
5TmZYdHW6HJ9gt7Aokuql5,0.828
4N1c5rmWOzRmB9SMacr5wB,0.731
3whrwq4DtvucphBPUogRuJ,0.349
7wGoVu4Dady5GV0Sv4UIsx,0.119
0qYTZCo5Bwh1nsUFGZP3zn,0.737
2FrnTVSHjgnEylKGdHRUK1,0.307
2rb5MvYT7ZIxbKW5hfcHx8,0.294
7qiZfU4dY1lWllzX7mPBI3,0.931
13X0XdLMOdtbXVtAj2ox4h,0.496
4yN6xPLopmTLvc27pO9LIE,0.786
5YY7ht3PCArlLjLbcTiAvh,0.451
4UG962ViiLqoUyx0RjCcwP,0.273
7FfpP3YZ6fOWMdxkIAtud9,0.411
209gZgcfLq2aUuu51vOWBl,0.433
11ZRYISCsAsLyyJo47DudZ,0.121
4J1e3hbf0e5YUZjkxyJWD3,0.45
