track_id,valence
4lESS6vuruP6a79KWRaQou,0.765
1zsG4eaZmkA1dvjDDsAGLK,0.64
6Za3190Sbw39BBC77WSS1C,0.839
5hcisvFMidkMJlElTO9Qmw,0.676
33bnxcjePIkcmNjEFTJX0l,0.839
1m69ELEgE6k5ZWsap40ozt,0.693
6De0lHrwBfPfrhorm9q1Xl,0.426
3VClLWqNn80Llv0PJOsKgr,0.71
0JcNysfWVWaMS7R6vzGB2k,0.64
7JNh1cfm0eXjqFVOzKLyau,0.871
70lnL3QaSOIIyMa2X9aVRL,0.893
5TysCiZtv1HnSWcTcUFusI,0.695
7ofxPmTNMj2GP07g1VZa0O,0.817
0lJCqIx5BhZtf6QtYI2fbv,0.215
1KSqYYJFyfTecXFk9M0prc,0.787
693iqPOQvhI7PobtR8CC8v,0.884
3Ga6eKrUFf12ouh9Yw3v2D,0.619
0ERbK7qVqveCaBWIiYCrl3,0.749
7MHN1aCFtLXjownGhvEQlF,0.86
0qYTZCo5Bwh1nsUFGZP3zn,0.737
5YzA563GXTuwQaRq24z1k5,0.746
0H7cz1bR7w9PulJL7Na774,0.575
4N1c5rmWOzRmB9SMacr5wB,0.731
0afpbPmRHldjP59YRslQz9,0.926
5TmZYdHW6HJ9gt7Aokuql5,0.828
0yyZN5ASdrYu0XYWFzfxUu,0.624
2rb5MvYT7ZIxbKW5hfcHx8,0.294
22eADXu8DfOAUEDw4vU8qy,0.427
1LszjjoVwDDZcWUQbzeDLG,0.64
3whrwq4DtvucphBPUogRuJ,0.349
7qiZfU4dY1lWllzX7mPBI3,0.931
2ekn2ttSfGqwhhate0LSR0,0.656
7Ckhk1XW5NV2k4jpqtQNlz,0.52
5q2JbCNi4FcnglgPfxcV65,0.767
209gZgcfLq2aUuu51vOWBl,0.433
4yN6xPLopmTLvc27pO9LIE,0.786
4XCQtUoRSh22Ep18ULmDnT,0.756
5EId1m4DNwTf3at31w8bPJ,0.323
6ElmxV9B2mSNscEjP27M7i,0.632
5zSOVwaY3sVjnmLhuEfsuf,0.812
13X0XdLMOdtbXVtAj2ox4h,0.496
3QwBODjSEzelZyVjxPOHdq,0.704
600Zff4zV6yOLlpLcacGGJ,0.824
05ZXXyeZFhZtA6DAP3Aw7x,0.639
0ofbQMrRDsUaVKq2mGLEAb,0.418
6qDF4wWL49CAVbgT7yuHl8,0.922
5hEM0JchdVzQ5PwvSfITeX,0.745
2FrnTVSHjgnEylKGdHRUK1,0.307
7MMRoGvm7uhoUVhGvHJ3yW,0.741
7FfpP3YZ6fOWMdxkIAtud9,0.411
