track_id,valence
1mXVgsBdtIVeCLJnSnmtdV,0.534
0ofbQMrRDsUaVKq2mGLEAb,0.418
42nrX5b8ZUYRcw2puNY8tb,0.774
0tgVpDi06FyKpA1z0VMD4v,0.168
3hBBKuWJfxlIlnd9QFoC8k,0.393
5Z3GHaZ6ec9bsiI5BenrbY,0.394
2ekn2ttSfGqwhhate0LSR0,0.656
6M21eWbEw74XDdoQsNIinq,0.108
74ODGXs4byLTRdnKGM4s6E,0.495
7EmGUiUaOSGDnUUQUDrOXC,0.327
1wjzFQodRWrPcQ0AnYnvQ9,0.419
4aUf4lzQ1di5JajZ4a9FuI,0.218
1bhUWB0zJMIKr9yVPrkEuI,0.356
5AEtlRudpgdT5FtNiuly6Y,0.71
7iDa6hUg2VgEL1o1HjmfBn,0.579
6ju3FaV3aVLzGzwERKZuFK,0.89
6mrKP2jyIQmM0rw6fQryjr,0.437
1WtpRQUvbyZAoEchymInA9,0.215
4ai7c2BUjNpElhZdZDH7qF,0.963
0NiXXAI876aGImAd6rTj8w,0.557
2xmrfQpmS2iJExTlklLoAL,0.33
3DXncPQOG4VBw3QHh3S817,0.811
46ixegtxjERQMCutmp09Sa,0.201
0tKcYR2II1VCQWT79i5NrW,0.298
6EpRaXYhGOB3fj4V2uDkMJ,0.527
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
5uCax9HTNlzGybIStD3vDh,0.494
2OALaHcDdKkjYEpAr0Qzab,0.229
0zFYa7NIpKhmom8zrZx7Ga,0.272
1NDxZ7cFAo481dtYWdrUnR,0.733
7F9vK8hNFMml4GtHsaXui6,0.645
7y4JznkAv2W3IKw9T1o2VK,0.321
6RUKPb4LETWmmr3iAEQktW,0.446
3m660poUr1chesgkkjQM7P,0.863
38yBBH2jacvDxrznF7h08J,0.868
6xQs6y6CpDqK9VKCktApEL,0.385
0Zbbxnx4SGGHoIow4PpISP,0.419
0RGUIOZtmOXTWOy5EjvQbP,0.528
6NFKf8vBApSvtzkapYmnVR,0.511
4iLqG9SeJSnt0cSPICSjxv,0.777
1x5sYLZiu9r5E43kMlt9f8,0.457
5NDUXbMwcnTQp66tI2zcdR,0.872
0dPBlz8N0veeceejtuvpPz,0.412
0Wv5wuenRLI3BcwgT3HPIP,0.564
7qiZfU4dY1lWllzX7mPBI3,0.931
1ER60P43ftVOLaMRvBfpnt,0.169
4v094LQ9eF10k2O2Te2ngK,0.194
6jA8HL9i4QGzsj6fjoxp8Y,0.13
7vGuf3Y35N4wmASOKLUVVU,0.286
6VpQdig9pdpTSIFItgkJV5,0.264
