track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
0bYg9bo50gSsH3LtXe2SQn,0.346
2FRnf9qhLbvw8fu4IBXx78,0.947
0ofbQMrRDsUaVKq2mGLEAb,0.418
3YU6vJbjYUG0tiJyXf9x5V,0.191
7EmGUiUaOSGDnUUQUDrOXC,0.327
3PEgB3fkiojxms35ntsTgs,0.544
0tgVpDi06FyKpA1z0VMD4v,0.168
7qiZfU4dY1lWllzX7mPBI3,0.931
2ekn2ttSfGqwhhate0LSR0,0.656
6QgjcU0zLnzq5OrUoSZ3OK,0.754
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
0tKcYR2II1VCQWT79i5NrW,0.298
1bhUWB0zJMIKr9yVPrkEuI,0.356
2ISl1zekPsc26sUQpVt8UB,0.962
1ADjWm8QNhgNV8yCNNgQ1T,0.527
4cIEQ6n11b04xjMqZri4ui,0.214
43ZyHQITOjhciSUUNPVRHc,0.699
3hBBKuWJfxlIlnd9QFoC8k,0.393
0CcQNd8CINkwQfe1RDtGV6,0.708
504W8xzM8013XZkMxRYkX4,0.329
5hslUAKq9I9CG2bAulFkHN,0.776
2OALaHcDdKkjYEpAr0Qzab,0.229
6pVW5LRWgeLaHudxauOTJU,0.829
5TuXRIWZicQ2baTHfXID0U,0.526
5KWxtm24eahVFAU4Acd5er,0.392
7hRsWeey4zosKz2ris2cHI,0.833
0ZoHHROTzwIYeNAHRPedTY,0.89
7GX5flRQZVHRAGd6B4TmDO,0.401
1AU7nfy6iBbNt7rrgSglOZ,0.471
6mrKP2jyIQmM0rw6fQryjr,0.437
7vGuf3Y35N4wmASOKLUVVU,0.286
1mXVgsBdtIVeCLJnSnmtdV,0.534
2jX6A7yk3mwmOCxmTXrxlm,0.515
1zsG4eaZmkA1dvjDDsAGLK,0.64
0Zbbxnx4SGGHoIow4PpISP,0.419
7anBA0IdgFaN3Pbyk2tog0,0.829
4u3OKUeFXMkfwdY65Gi8FM,0.502
1x5sYLZiu9r5E43kMlt9f8,0.457
5AEtlRudpgdT5FtNiuly6Y,0.71
2NF8A7C6tICScdRaZ0BrEe,0.87
3E6Ydoy1H8ePoigc10Mgsa,0.326
3bWAqKDWg6u1davspr5IkS,0.583
2xmrfQpmS2iJExTlklLoAL,0.33
7KXjTSCq5nL1LoYtL7XAwS,0.4
2rb5MvYT7ZIxbKW5hfcHx8,0.294
1hvpDAxZPKjKztOc72sv06,0.349
2KklXplRtxMsBYo474Es0w,0.507
0afhq8XCExXpqazXczTSve,0.781
7inXu0Eaeg02VsM8kHNvzM,0.844
