track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
1bhUWB0zJMIKr9yVPrkEuI,0.356
0ofbQMrRDsUaVKq2mGLEAb,0.418
1zsG4eaZmkA1dvjDDsAGLK,0.64
7EmGUiUaOSGDnUUQUDrOXC,0.327
2ekn2ttSfGqwhhate0LSR0,0.656
3sIXzuNgN9HrC7amkEQWiP,0.184
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
7vGuf3Y35N4wmASOKLUVVU,0.286
1mXVgsBdtIVeCLJnSnmtdV,0.534
4whe9nAKt7gpIEW5USTPAk,0.309
43ZyHQITOjhciSUUNPVRHc,0.699
0tgVpDi06FyKpA1z0VMD4v,0.168
3Ga6eKrUFf12ouh9Yw3v2D,0.619
3YU6vJbjYUG0tiJyXf9x5V,0.191
0D8wUCg5XGHfWQIEzMmJAl,0.253
3hBBKuWJfxlIlnd9QFoC8k,0.393
6mrKP2jyIQmM0rw6fQryjr,0.437
6De0lHrwBfPfrhorm9q1Xl,0.426
3B54sVLJ402zGa6Xm4YGNe,0.733
75ZvA4QfFiZvzhj2xkaWAh,0.308
5tz69p7tJuGPeMGwNTxYuV,0.386
7qiZfU4dY1lWllzX7mPBI3,0.931
2KTw4vRM6mdBzMlVkInvSS,0.306
3a1lNhkSLSkpJE4MSHpDu9,0.504
5AEtlRudpgdT5FtNiuly6Y,0.71
6ju3FaV3aVLzGzwERKZuFK,0.89
7GX5flRQZVHRAGd6B4TmDO,0.401
0bYg9bo50gSsH3LtXe2SQn,0.346
6QgjcU0zLnzq5OrUoSZ3OK,0.754
42CeaId2XNlxugDvyqHfDf,0.434
3nOdmaNfqskNaYpBGPLDdG,0.201
2xmrfQpmS2iJExTlklLoAL,0.33
6VpQdig9pdpTSIFItgkJV5,0.264
0tKcYR2II1VCQWT79i5NrW,0.298
7KXjTSCq5nL1LoYtL7XAwS,0.4
4iF4gAu0yfKFhQATEa6oXh,0.261
5PB8zB1MOZASboLquvinMF,0.651
0Zbbxnx4SGGHoIow4PpISP,0.419
0qYTZCo5Bwh1nsUFGZP3zn,0.737
7m9OqQk4RVRkw9JJdeAw96,0.437
2rb5MvYT7ZIxbKW5hfcHx8,0.294
2OALaHcDdKkjYEpAr0Qzab,0.229
5Z3GHaZ6ec9bsiI5BenrbY,0.394
4iLqG9SeJSnt0cSPICSjxv,0.777
3029IUQQ26whiZDLqUMWLC,0.747
3ibRxEv4KkcU9e259eyNJA,0.637
2eMDFmOQ4mWJoI6YcKYNOy,0.264
2fQrGHiQOvpL9UgPvtYy6G,0.376
1pc6Ssg5obznItjcqRFWbM,0.453
