track_id,valence
7EmGUiUaOSGDnUUQUDrOXC,0.327
0ofbQMrRDsUaVKq2mGLEAb,0.418
1mXVgsBdtIVeCLJnSnmtdV,0.534
0tgVpDi06FyKpA1z0VMD4v,0.168
3hBBKuWJfxlIlnd9QFoC8k,0.393
1bhUWB0zJMIKr9yVPrkEuI,0.356
2ekn2ttSfGqwhhate0LSR0,0.656
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
6ju3FaV3aVLzGzwERKZuFK,0.89
7vGuf3Y35N4wmASOKLUVVU,0.286
5AEtlRudpgdT5FtNiuly6Y,0.71
5yFSF6qQA1rcLsQRnBsZgb,0.662
6mrKP2jyIQmM0rw6fQryjr,0.437
0Zbbxnx4SGGHoIow4PpISP,0.419
7Ed6BkggCS2KaKY5YlINaF,0.645
7qiZfU4dY1lWllzX7mPBI3,0.931
0OlnLZY4cmQzT6ZGttvWBM,0.13
7iDa6hUg2VgEL1o1HjmfBn,0.579
5Z3GHaZ6ec9bsiI5BenrbY,0.394
7wGoVu4Dady5GV0Sv4UIsx,0.119
2xmrfQpmS2iJExTlklLoAL,0.33
6RUKPb4LETWmmr3iAEQktW,0.446
3YU6vJbjYUG0tiJyXf9x5V,0.191
2OALaHcDdKkjYEpAr0Qzab,0.229
4iLqG9SeJSnt0cSPICSjxv,0.777
7y4JznkAv2W3IKw9T1o2VK,0.321
7EI6Iki24tBHAMxtb4xQN2,0.321
1wjzFQodRWrPcQ0AnYnvQ9,0.419
7krbSH3rd8lhIZvuzTV3Bl,0.238
3PEgB3fkiojxms35ntsTgs,0.544
7F9vK8hNFMml4GtHsaXui6,0.645
0tKcYR2II1VCQWT79i5NrW,0.298
5uCax9HTNlzGybIStD3vDh,0.494
0bYg9bo50gSsH3LtXe2SQn,0.346
6VpQdig9pdpTSIFItgkJV5,0.264
0Wv5wuenRLI3BcwgT3HPIP,0.564
0NiXXAI876aGImAd6rTj8w,0.557
0RGUIOZtmOXTWOy5EjvQbP,0.528
43ZyHQITOjhciSUUNPVRHc,0.699
5CtI0qwDJkDQGwXD1H1cLb,0.813
6fxVffaTuwjgEk5h9QyRjy,0.201
3m660poUr1chesgkkjQM7P,0.863
1Qg9jWGDkKAGZXj5v2OG59,0.407
5SE57ljOIUJ1ybL9U6CuBH,0.687
2gug6MRv4xQFYi9LA3PJCS,0.535
5gIRPQWULwrvIt0F6pY7ph,0.506
4v094LQ9eF10k2O2Te2ngK,0.194
6jA8HL9i4QGzsj6fjoxp8Y,0.13
0OI7AFifLSoGzpb8bdBLLV,0.216
2nUJvBO87SkxCViQsLc9Zr,0.633
