track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
7EmGUiUaOSGDnUUQUDrOXC,0.327
0bYg9bo50gSsH3LtXe2SQn,0.346
3YU6vJbjYUG0tiJyXf9x5V,0.191
2FRnf9qhLbvw8fu4IBXx78,0.947
0ofbQMrRDsUaVKq2mGLEAb,0.418
1bhUWB0zJMIKr9yVPrkEuI,0.356
3hBBKuWJfxlIlnd9QFoC8k,0.393
6mrKP2jyIQmM0rw6fQryjr,0.437
2ekn2ttSfGqwhhate0LSR0,0.656
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
43ZyHQITOjhciSUUNPVRHc,0.699
0Zbbxnx4SGGHoIow4PpISP,0.419
7vGuf3Y35N4wmASOKLUVVU,0.286
1mXVgsBdtIVeCLJnSnmtdV,0.534
2xmrfQpmS2iJExTlklLoAL,0.33
5AEtlRudpgdT5FtNiuly6Y,0.71
3PEgB3fkiojxms35ntsTgs,0.544
6uJhR4iM5JSWpMoTtU8tCW,0.222
7iDa6hUg2VgEL1o1HjmfBn,0.579
3T7dNA7O8c3Axj5WyDNcH3,0.849
0OI7AFifLSoGzpb8bdBLLV,0.216
2OALaHcDdKkjYEpAr0Qzab,0.229
1zsG4eaZmkA1dvjDDsAGLK,0.64
4xgogDjS5rql6vVY5Okxhk,0.0382
6QgjcU0zLnzq5OrUoSZ3OK,0.754
42CeaId2XNlxugDvyqHfDf,0.434
7inXu0Eaeg02VsM8kHNvzM,0.844
2kTHQN7laJk0CyWmXtrjTK,0.571
0tgVpDi06FyKpA1z0VMD4v,0.168
75ZvA4QfFiZvzhj2xkaWAh,0.308
6VpQdig9pdpTSIFItgkJV5,0.264
6ju3FaV3aVLzGzwERKZuFK,0.89
5yFSF6qQA1rcLsQRnBsZgb,0.662
1mYMPmUIYoGFUBwLzhbPwk,0.361
7qiZfU4dY1lWllzX7mPBI3,0.931
7EI6Iki24tBHAMxtb4xQN2,0.321
0tKcYR2II1VCQWT79i5NrW,0.298
2nUJvBO87SkxCViQsLc9Zr,0.633
1ADjWm8QNhgNV8yCNNgQ1T,0.527
5hslUAKq9I9CG2bAulFkHN,0.776
1wjzFQodRWrPcQ0AnYnvQ9,0.419
4IdXngKo4g5exqZ0fQTecu,0.751
6vMAiSwacnROEDl3NrxHiU,0.0499
1hvpDAxZPKjKztOc72sv06,0.349
4tHqQMWSqmL6YjXwsqthDI,0.8
0OlnLZY4cmQzT6ZGttvWBM,0.13
15e2k0fi3veBWkUFt6pkAq,0.35
1Qg9jWGDkKAGZXj5v2OG59,0.407
6IeK3Ap5m3HabwJxgI6eSE,0.717
