track_id,valence
1zsG4eaZmkA1dvjDDsAGLK,0.64
5hcisvFMidkMJlElTO9Qmw,0.676
6Za3190Sbw39BBC77WSS1C,0.839
7JNh1cfm0eXjqFVOzKLyau,0.871
6De0lHrwBfPfrhorm9q1Xl,0.426
4lESS6vuruP6a79KWRaQou,0.765
1m69ELEgE6k5ZWsap40ozt,0.693
6ElmxV9B2mSNscEjP27M7i,0.632
70lnL3QaSOIIyMa2X9aVRL,0.893
6ZZOdrcqRZzTCwGlsy00SU,0.577
0ofbQMrRDsUaVKq2mGLEAb,0.418
5TysCiZtv1HnSWcTcUFusI,0.695
2ekn2ttSfGqwhhate0LSR0,0.656
3VClLWqNn80Llv0PJOsKgr,0.71
3whrwq4DtvucphBPUogRuJ,0.349
7wGoVu4Dady5GV0Sv4UIsx,0.119
7ofxPmTNMj2GP07g1VZa0O,0.817
1bhUWB0zJMIKr9yVPrkEuI,0.356
5TmZYdHW6HJ9gt7Aokuql5,0.828
3Ga6eKrUFf12ouh9Yw3v2D,0.619
0yyZN5ASdrYu0XYWFzfxUu,0.624
33bnxcjePIkcmNjEFTJX0l,0.839
0JcNysfWVWaMS7R6vzGB2k,0.64
7EmGUiUaOSGDnUUQUDrOXC,0.327
3xWEI23MLJrD0dpDcDUTW6,0.506
1d0c62VFYauOOgxZ2eFUxx,0.763
0tgVpDi06FyKpA1z0VMD4v,0.168
0lJCqIx5BhZtf6QtYI2fbv,0.215
0qYTZCo5Bwh1nsUFGZP3zn,0.737
1KSqYYJFyfTecXFk9M0prc,0.787
693iqPOQvhI7PobtR8CC8v,0.884
4N1c5rmWOzRmB9SMacr5wB,0.731
0Gw9QC3RqHmTdGqHIWLHb6,0.765
7MHN1aCFtLXjownGhvEQlF,0.86
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
7qiZfU4dY1lWllzX7mPBI3,0.931
7en0831Kv3C7qDh1kXhM9U,0.311
0ERbK7qVqveCaBWIiYCrl3,0.749
2rb5MvYT7ZIxbKW5hfcHx8,0.294
22eADXu8DfOAUEDw4vU8qy,0.427
5Y9fnynLlIvqtM710MHzfz,0.626
1LszjjoVwDDZcWUQbzeDLG,0.64
5ZCamgcqvkckdf2FdfYuth,0.169
3hBBKuWJfxlIlnd9QFoC8k,0.393
6NwXwJlXKZmgLZga2cLkhb,0.621
1mXVgsBdtIVeCLJnSnmtdV,0.534
6QgjcU0zLnzq5OrUoSZ3OK,0.754
0B6GRS3vGtzu6w5BQXqWMq,0.57
209gZgcfLq2aUuu51vOWBl,0.433
5zSOVwaY3sVjnmLhuEfsuf,0.812
