track_id,valence
4VJYs0SVHHm0C1Os11eoKT,0.502
1bhUWB0zJMIKr9yVPrkEuI,0.356
7wGoVu4Dady5GV0Sv4UIsx,0.119
7ykHSB24dPhasUfxOdhpJD,0.725
0bYg9bo50gSsH3LtXe2SQn,0.346
6mrKP2jyIQmM0rw6fQryjr,0.437
2FRnf9qhLbvw8fu4IBXx78,0.947
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
7EmGUiUaOSGDnUUQUDrOXC,0.327
5yFSF6qQA1rcLsQRnBsZgb,0.662
6UbwfQeAEzhnolDwXiPowY,0.662
7vGuf3Y35N4wmASOKLUVVU,0.286
0Zbbxnx4SGGHoIow4PpISP,0.419
0WeT9UnF79pGH5ohYHsnD9,0.754
32OWobmyAz8J2qA8iWekyS,0.881
0tgVpDi06FyKpA1z0VMD4v,0.168
1mXVgsBdtIVeCLJnSnmtdV,0.534
1hvpDAxZPKjKztOc72sv06,0.349
0lLdorYw7lVrJydTINhWdI,0.381
0RTzJVkunbGwuRjXDFHnjf,0.5
4cGPWeCfoQTw7i0wqNRcjI,0.228
2nUJvBO87SkxCViQsLc9Zr,0.633
0ofbQMrRDsUaVKq2mGLEAb,0.418
2ekn2ttSfGqwhhate0LSR0,0.656
1ADjWm8QNhgNV8yCNNgQ1T,0.527
3hBBKuWJfxlIlnd9QFoC8k,0.393
7taXf5odg9xCAZERYfyOkS,0.963
75ZvA4QfFiZvzhj2xkaWAh,0.308
3VTNVsTTu05dmTsVFrmGpK,0.474
7shcnBgfWJ6AT7jmvAw4xO,0.611
7wb4tNJwBOpW5bZbph5t5Y,0.167
43ZyHQITOjhciSUUNPVRHc,0.699
6WbADFqMvR8N5u0BvtsWQE,0.279
7qiZfU4dY1lWllzX7mPBI3,0.931
1MMeScdLmniNyO4WMuoIxb,0.891
1zsG4eaZmkA1dvjDDsAGLK,0.64
3zJw3rugfpVrmBeDDnUYzy,0.395
4so0Wek9Ig1p6CRCHuINwW,0.236
5hslUAKq9I9CG2bAulFkHN,0.776
0ZoHHROTzwIYeNAHRPedTY,0.89
5tz69p7tJuGPeMGwNTxYuV,0.386
2OALaHcDdKkjYEpAr0Qzab,0.229
42CeaId2XNlxugDvyqHfDf,0.434
7inXu0Eaeg02VsM8kHNvzM,0.844
0Clb9aiXWa0dvVff5aN4VN,0.537
4WfSDuJ4MrpdSSCEOanwzD,0.167
4ECv88UJvcKFQX1HuLixjg,0.74
6v158kg6ju9kq8ldB4NmIN,0.109
7Hz6LLOVxrojLPIHJJ1S0E,0.317
5humEOJehpAwMJEJmb0JJ2,0.188
