track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
0ofbQMrRDsUaVKq2mGLEAb,0.418
4hKWUzhQWsOkgT6LnDEASe,0.746
7EmGUiUaOSGDnUUQUDrOXC,0.327
1zsG4eaZmkA1dvjDDsAGLK,0.64
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
1bhUWB0zJMIKr9yVPrkEuI,0.356
6mrKP2jyIQmM0rw6fQryjr,0.437
0tgVpDi06FyKpA1z0VMD4v,0.168
4m973PBeKbRIMCdLypmPWz,0.683
2ekn2ttSfGqwhhate0LSR0,0.656
0Zbbxnx4SGGHoIow4PpISP,0.419
1mXVgsBdtIVeCLJnSnmtdV,0.534
3YU6vJbjYUG0tiJyXf9x5V,0.191
7qiZfU4dY1lWllzX7mPBI3,0.931
7vGuf3Y35N4wmASOKLUVVU,0.286
3hBBKuWJfxlIlnd9QFoC8k,0.393
0bYg9bo50gSsH3LtXe2SQn,0.346
1nP69R7Nc3yIbiN6EUNyZi,0.428
3B54sVLJ402zGa6Xm4YGNe,0.733
5cjecvX0CmC9gK0Laf5EMQ,0.191
43ZyHQITOjhciSUUNPVRHc,0.699
3PEgB3fkiojxms35ntsTgs,0.544
0tKcYR2II1VCQWT79i5NrW,0.298
2FRnf9qhLbvw8fu4IBXx78,0.947
1wjzFQodRWrPcQ0AnYnvQ9,0.419
6QgjcU0zLnzq5OrUoSZ3OK,0.754
2nUJvBO87SkxCViQsLc9Zr,0.633
2OALaHcDdKkjYEpAr0Qzab,0.229
7iDa6hUg2VgEL1o1HjmfBn,0.579
3bWAqKDWg6u1davspr5IkS,0.583
2rb5MvYT7ZIxbKW5hfcHx8,0.294
6De0lHrwBfPfrhorm9q1Xl,0.426
2xmrfQpmS2iJExTlklLoAL,0.33
5AEtlRudpgdT5FtNiuly6Y,0.71
6ju3FaV3aVLzGzwERKZuFK,0.89
6RUKPb4LETWmmr3iAEQktW,0.446
4c2W3VKsOFoIg2SFaO6DY5,0.962
0CokSRCu5hZgPxcZBaEzVE,0.356
0Qh38w01QRXK6KHIv0e3hb,0.187
7GX5flRQZVHRAGd6B4TmDO,0.401
1vVZLmZq8gN8pPCEBLjPvD,0.305
0NiXXAI876aGImAd6rTj8w,0.557
1ywqGGNsfC9gditduk5hpZ,0.467
1CYj9Yx8zrYvU93khXvmsA,0.371
6WbADFqMvR8N5u0BvtsWQE,0.279
1ADjWm8QNhgNV8yCNNgQ1T,0.527
7EI6Iki24tBHAMxtb4xQN2,0.321
4iLqG9SeJSnt0cSPICSjxv,0.777
75ZvA4QfFiZvzhj2xkaWAh,0.308
