track_id,valence
4HAiI0c2CxB5iUFlo7cbbP,0.5
7EmGUiUaOSGDnUUQUDrOXC,0.327
2HVlPD7l46qVItJl26XsLi,0.5
0OlnLZY4cmQzT6ZGttvWBM,0.13
1bhUWB0zJMIKr9yVPrkEuI,0.356
2sb6AZQLeoD3VgA4zglQB6,0.412
2mtFJ0dJv67r3BZTguRloB,0.185
3hBBKuWJfxlIlnd9QFoC8k,0.393
0ofbQMrRDsUaVKq2mGLEAb,0.418
6LunoYd3xpZ19sICOXS8Xd,0.186
1mXVgsBdtIVeCLJnSnmtdV,0.534
7qiZfU4dY1lWllzX7mPBI3,0.931
5yFSF6qQA1rcLsQRnBsZgb,0.662
2ekn2ttSfGqwhhate0LSR0,0.656
5mS0BGxAAebA3amJg6LkVk,0.284
6RUKPb4LETWmmr3iAEQktW,0.446
66LKcDWIHdqWEaviZhcMTx,0.261
5AEtlRudpgdT5FtNiuly6Y,0.71
6ju3FaV3aVLzGzwERKZuFK,0.89
1bkvGbgK4HU8B7Ue4k7O7I,0.238
1YBr9ZEaKexARNikscECzj,0.445
0tgVpDi06FyKpA1z0VMD4v,0.168
2xmrfQpmS2iJExTlklLoAL,0.33
4mDGkFRAqaYosoyWUI7QzM,0.521
262Q20zX8BmAOIA6cFB2t9,0.477
4mfiW3wb3JcbYn99eqgiuN,0.401
3YU6vJbjYUG0tiJyXf9x5V,0.191
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
6mrKP2jyIQmM0rw6fQryjr,0.437
51PYzHOuwTngW2whaPoYFW,0.329
5AI9vJ8S0wtuqJNrgH1Oyi,0.5
7vGuf3Y35N4wmASOKLUVVU,0.286
2GxItcqsVBFX2ZdZL1WO1y,0.5
221FBKC22DTc7XkPIaZYOl,0.516
6cqG6uyhuGDqsRyBwFrzxJ,0.181
7A3xZcmJid8Vzknv3P79Zh,0.5
7GrHrcqJO6NZKOx3l0cK5L,0.162
6QAn6Crff7sfcqC83fH7dd,0.312
7Ed6BkggCS2KaKY5YlINaF,0.645
0rEpxy7OwIcVJX10dL4iMT,0.275
7wGoVu4Dady5GV0Sv4UIsx,0.119
7iDa6hUg2VgEL1o1HjmfBn,0.579
05mOZWxwX317mNF4lQjm5x,0.5
0qepAQsUGIzofBj82iP17C,0.222
0ymRuzItRMc5FyJRqRpAkR,0.161
2OALaHcDdKkjYEpAr0Qzab,0.229
6AajTEPliMJm4rJ9UMPUP2,0.5
65KjitGykI5QIcsYrNhPZR,0.226
0Zbbxnx4SGGHoIow4PpISP,0.419
0VqSdtXseb9khdZrnYVyM1,0.252
