track_id,valence
0ofbQMrRDsUaVKq2mGLEAb,0.418
3CrDt4x72gWHaglwnM0CAH,0.378
1mXVgsBdtIVeCLJnSnmtdV,0.534
7EmGUiUaOSGDnUUQUDrOXC,0.327
5OzKApzqDkOVg4P5jQlD8J,0.916
0tgVpDi06FyKpA1z0VMD4v,0.168
3hBBKuWJfxlIlnd9QFoC8k,0.393
2ekn2ttSfGqwhhate0LSR0,0.656
1bhUWB0zJMIKr9yVPrkEuI,0.356
6ju3FaV3aVLzGzwERKZuFK,0.89
4teedU9O1HNw0jMR1VzNev,0.728
46Uqy57KyAT7xBz6BIqdB3,0.912
7qiZfU4dY1lWllzX7mPBI3,0.931
1ux0god9zERqovPLrzRdBT,0.213
0b9JDLbAgCazIwPSWj6DNL,0.32
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
3YU6vJbjYUG0tiJyXf9x5V,0.191
0RGUIOZtmOXTWOy5EjvQbP,0.528
7Ed6BkggCS2KaKY5YlINaF,0.645
3uVe6WBnQlTdT6zWs6uPX9,0.134
5Z3GHaZ6ec9bsiI5BenrbY,0.394
5mVeBv0bUZPJU7kPZcm594,0.28
0tKcYR2II1VCQWT79i5NrW,0.298
1rve7sIFz7JVxwfrisKyP3,0.618
0xpkfml0e404bgSA0C9U2T,0.736
7vGuf3Y35N4wmASOKLUVVU,0.286
54BVTgTpCjK8cRhTFDjHNK,0.731
5tz69p7tJuGPeMGwNTxYuV,0.386
5AEtlRudpgdT5FtNiuly6Y,0.71
5yFSF6qQA1rcLsQRnBsZgb,0.662
6mrKP2jyIQmM0rw6fQryjr,0.437
79cuOz3SPQTuFrp8WgftAu,0.966
7wGoVu4Dady5GV0Sv4UIsx,0.119
0FlZM6SFefxfXzX68IpVxb,0.577
6RUKPb4LETWmmr3iAEQktW,0.446
0OlnLZY4cmQzT6ZGttvWBM,0.13
7krbSH3rd8lhIZvuzTV3Bl,0.238
1H0gOyCNo1NKWFmM8VMIeN,0.21
4AsE3bvoh6yuZls617lj4Z,0.536
0fSl800MbFmlLs1aUxx7Z2,0.15
5CtI0qwDJkDQGwXD1H1cLb,0.813
6VpQdig9pdpTSIFItgkJV5,0.264
6KtTbMttJ8ZtMG6VMds2B2,0.476
1OlInnJssr9pXY0Ooa0SDT,0.533
4iLqG9SeJSnt0cSPICSjxv,0.777
7F9vK8hNFMml4GtHsaXui6,0.645
2xmrfQpmS2iJExTlklLoAL,0.33
2OALaHcDdKkjYEpAr0Qzab,0.229
6G0ncT77pPAgY3fye63X84,0.369
4URCEQmgwuwaHiySIqGmIa,0.701
