track_id,valence
5uyGQAXeaYJ7X7FcN8JJiq,0.688
5Y3ZTBwRNrgj3AlXYASvDe,0.692
7wGoVu4Dady5GV0Sv4UIsx,0.119
5dLtu0lS5pP9ivMerk3uMA,0.327
3lPrs1fylHXjPPfSioDXDg,0.741
0R0o8uOkDz40XsR6uwThfQ,0.339
2ekn2ttSfGqwhhate0LSR0,0.656
0ofbQMrRDsUaVKq2mGLEAb,0.418
5JaXKUIcNxwSuUyD4CsphL,0.302
6Ld3bnYoP3JnmHMbtqMXYY,0.404
4JWAN1SBE6r2PHbXTHzQNx,0.544
3xtNRxaUY785OdDP78yrpG,0.206
2QD387ZxhUxTJQYLe11w9D,0.408
1j4kHkkpqZRBwE0A4CN4Yv,0.0967
7gPMdD5iUC8i3LsFxr01jw,0.464
7qiZfU4dY1lWllzX7mPBI3,0.931
5T8Fiq5hPALY1La8BqlYYn,0.506
2qM7yVNhMjZGVvXhPQ5TFS,0.821
1JvUmKSl9Mg6mQnmbjLYyz,0.522
23KSyhPMqyUVrrLo300YiW,0.625
0CcQNd8CINkwQfe1RDtGV6,0.708
7EmGUiUaOSGDnUUQUDrOXC,0.327
0tKcYR2II1VCQWT79i5NrW,0.298
3SqvR3HYLlCTYzbDXJ52OC,0.689
3hdXIz9eY9u5QoEUkBs5yN,0.551
045FwWlfQeVoaCNDvShp7m,0.61
2PYUMHjLGRwYw4JEHlvMRu,0.358
04aT9IT86qeDS7p9DQGa6z,0.655
43ZyHQITOjhciSUUNPVRHc,0.699
3YU6vJbjYUG0tiJyXf9x5V,0.191
4iLqG9SeJSnt0cSPICSjxv,0.777
58aGvhMxUHn88sbJpirQ1T,0.817
77JBSUsrRRPsmtxNKjB2Fx,0.933
5m0xKFMim80XzJ1HM0IBwW,0.969
3B54sVLJ402zGa6Xm4YGNe,0.733
3CPBzUohQI0fVoFFMSZouO,0.391
1KZ2GIHODjEmMoEGUcgZKB,0.679
7ohDUXs6SsU3XjTI9pcKTS,0.573
1bhUWB0zJMIKr9yVPrkEuI,0.356
3EfugazgSddQvzZpkof5I4,0.445
17KyYoAhToJhgiFV2Bt41b,0.627
6qkXhA5mVvG1DLyliRS1Yf,0.962
2rb5MvYT7ZIxbKW5hfcHx8,0.294
1BSsv8bVGdxyvW0NPiZy1A,0.538
2j69gw8fSyTDksf3glQaCH,0.222
0VgkVdmE4gld66l8iyGjgx,0.281
5CtI0qwDJkDQGwXD1H1cLb,0.813
1rY4UYyZ3PcuYgWIddkcnL,0.838
0cJ7GPiXfc6nF8gkJHnDu9,0.248
1anxoJyGm5QOWpPtDkXIfc,0.391
