track_id,valence
7wGoVu4Dady5GV0Sv4UIsx,0.119
43ZyHQITOjhciSUUNPVRHc,0.699
75ZvA4QfFiZvzhj2xkaWAh,0.308
7sO5G9EABYOXQKNPNiE9NR,0.333
42CeaId2XNlxugDvyqHfDf,0.434
2Xqd0wUttjueBfdcltADOv,0.405
3YU6vJbjYUG0tiJyXf9x5V,0.191
0bYg9bo50gSsH3LtXe2SQn,0.346
6mrKP2jyIQmM0rw6fQryjr,0.437
0ofbQMrRDsUaVKq2mGLEAb,0.418
1mXVgsBdtIVeCLJnSnmtdV,0.534
7EmGUiUaOSGDnUUQUDrOXC,0.327
7GX5flRQZVHRAGd6B4TmDO,0.401
2fQrGHiQOvpL9UgPvtYy6G,0.376
1bhUWB0zJMIKr9yVPrkEuI,0.356
1YZfcVLbbJwfizR5cDOp3q,0.146
4dVpf9jZjcORqGTLUaeYj9,0.52
3ncgNpxLoBQ65ABk4djDyd,0.287
5tz69p7tJuGPeMGwNTxYuV,0.386
3a1lNhkSLSkpJE4MSHpDu9,0.504
0tgVpDi06FyKpA1z0VMD4v,0.168
7KXjTSCq5nL1LoYtL7XAwS,0.4
2ekn2ttSfGqwhhate0LSR0,0.656
6NWl2m8asvH83xjuXVNsuG,0.277
5Z3GHaZ6ec9bsiI5BenrbY,0.394
3hBBKuWJfxlIlnd9QFoC8k,0.393
7iDa6hUg2VgEL1o1HjmfBn,0.579
5AEtlRudpgdT5FtNiuly6Y,0.71
7vGuf3Y35N4wmASOKLUVVU,0.286
3wAI7MIQtTgwcRmwchPZBc,0.196
4DTpngLjoHj5gFxEZFeD3J,0.574
5WoaF1B5XIEnWfmb5NZikf,0.183
7y9iMe8SOB6z3NoHE2OfXl,0.607
1XRgIKC5TPwo7nWGyKqgG0,0.425
6PGoSes0D9eUDeeAafB2As,0.766
3T7dNA7O8c3Axj5WyDNcH3,0.849
2771LMNxwf62FTAdpJMQfM,0.458
5u6vkDnOyaf8LsteDAj2ub,0.243
1yxgsra98r3qAtxqiGZPiX,0.182
40oKW22ZNNkEdZLJTScaQI,0.363
6VpQdig9pdpTSIFItgkJV5,0.264
6gBFPUFcJLzWGx4lenP6h2,0.43
790MhTXPFrYkrqCKvpg4t1,0.649
7m9OqQk4RVRkw9JJdeAw96,0.437
152lZdxL1OR0ZMW6KquMif,0.326
3B54sVLJ402zGa6Xm4YGNe,0.733
2eAZfqOm4EnOF9VvN50Tyc,0.696
2FRnf9qhLbvw8fu4IBXx78,0.947
5hslUAKq9I9CG2bAulFkHN,0.776
0tKcYR2II1VCQWT79i5NrW,0.298
