track_id,valence
1zsG4eaZmkA1dvjDDsAGLK,0.64
5hcisvFMidkMJlElTO9Qmw,0.676
4lESS6vuruP6a79KWRaQou,0.765
6Za3190Sbw39BBC77WSS1C,0.839
1m69ELEgE6k5ZWsap40ozt,0.693
33bnxcjePIkcmNjEFTJX0l,0.839
7JNh1cfm0eXjqFVOzKLyau,0.871
6De0lHrwBfPfrhorm9q1Xl,0.426
5TysCiZtv1HnSWcTcUFusI,0.695
3Ga6eKrUFf12ouh9Yw3v2D,0.619
7ofxPmTNMj2GP07g1VZa0O,0.817
70lnL3QaSOIIyMa2X9aVRL,0.893
3VClLWqNn80Llv0PJOsKgr,0.71
7ehmaSwhEZv4aaJzxsVMGY,0.342
0lJCqIx5BhZtf6QtYI2fbv,0.215
5QTWB74jDroxV6DvMqV533,0.74
335SGs7Q58sUqkbgqF5Z3J,0.757
0JcNysfWVWaMS7R6vzGB2k,0.64
693iqPOQvhI7PobtR8CC8v,0.884
3whrwq4DtvucphBPUogRuJ,0.349
0vnrhysrKKRdNYFKLAGzRc,0.462
1KSqYYJFyfTecXFk9M0prc,0.787
5TmZYdHW6HJ9gt7Aokuql5,0.828
0qYTZCo5Bwh1nsUFGZP3zn,0.737
0ERbK7qVqveCaBWIiYCrl3,0.749
0yyZN5ASdrYu0XYWFzfxUu,0.624
4N1c5rmWOzRmB9SMacr5wB,0.731
1tkikMrqW4NvmzIfIyNXw7,0.431
1LszjjoVwDDZcWUQbzeDLG,0.64
6ElmxV9B2mSNscEjP27M7i,0.632
4XP6qLtHI0n9UjIPTsuqe8,0.803
2rb5MvYT7ZIxbKW5hfcHx8,0.294
22eADXu8DfOAUEDw4vU8qy,0.427
7MHN1aCFtLXjownGhvEQlF,0.86
0ofbQMrRDsUaVKq2mGLEAb,0.418
4XCQtUoRSh22Ep18ULmDnT,0.756
5zSOVwaY3sVjnmLhuEfsuf,0.812
2ekn2ttSfGqwhhate0LSR0,0.656
5YzA563GXTuwQaRq24z1k5,0.746
7qiZfU4dY1lWllzX7mPBI3,0.931
1iidvirbvLhm05k83k4N64,0.5
209gZgcfLq2aUuu51vOWBl,0.433
5ojXuKXBYq0apcNucYSDXq,0.496
1Ft13La2daEGqz5yWJC7lx,0.844
5UjhWsB5rddZEPlNUcGDLV,0.184
5EId1m4DNwTf3at31w8bPJ,0.323
4yN6xPLopmTLvc27pO9LIE,0.786
5q2JbCNi4FcnglgPfxcV65,0.767
3t6j6WNv2OSn6qm5Vxynub,0.676
4aWmUDTfIPGksMNLV2rQP2,0.846
