GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
597610638,20161109,201611,2016,2016.8466,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOV,THE WHITE HOUSE,USA,,,,,GOV,,,0,036,036,03,1,4.0,1,1,1,5.26315789473684,1,Nigeria,NI,NI,10.0,8.0,NI,1,Nigeria,NI,NI,10.0,8.0,NI,1,Nigeria,NI,NI,10.0,8.0,NI,20161110,http://guardian.ng/news/obama-trump-clinton-unite-for-peaceful-power-transfer/
599694905,20161109,201611,2016,2016.8466,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,USAGOV,OVAL OFFICE,USA,,,,,GOV,,,1,042,042,04,1,1.9,2,1,2,-2.90404040404041,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,20161116,http://www.mtdemocrat.com/opinion/the-real-question-is-what-went-right/
599694907,20161109,201611,2016,2016.8466,USAGOV,OVAL OFFICE,USA,,,,,GOV,,,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,1,043,043,04,1,2.8,10,1,10,-2.90404040404041,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,20161116,http://www.mtdemocrat.com/opinion/the-real-question-is-what-went-right/
599694906,20161109,201611,2016,2016.8466,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,USAGOV,OVAL OFFICE,USA,,,,,GOV,,,1,042,042,04,1,1.9,2,1,2,-2.90404040404041,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20161116,http://www.mtdemocrat.com/opinion/the-real-question-is-what-went-right/
599038141,20161108,201611,2016,2016.8438,USAGOV,OVAL OFFICE,USA,,,,,GOV,,,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,1,040,040,04,1,1.0,10,1,5,3.00187617260788,1,United States,US,US,38.0,-97.0,US,1,United States,US,US,38.0,-97.0,US,1,United States,US,US,38.0,-97.0,US,20161115,http://associationsnow.com/2016/11/manufacturers-associations-unite-offer-support-trump/
599333017,20161108,201611,2016,2016.8438,USAGOV,UNITED STATES,USA,,,,,GOV,,,USAGOV,UNITED STATES,USA,,,,,GOV,,,1,111,111,11,3,-2.0,2,1,2,-2.54777070063694,1,United States,US,US,38.0,-97.0,US,1,United States,US,US,38.0,-97.0,US,1,United States,US,US,38.0,-97.0,US,20161115,http://www.tallahassee.com/story/news/2016/11/15/fsus-thrasher-condemns-post-election-harassment/93886520/
597493189,20161108,201611,2016,2016.8438,USAGOV,AMERICAN,USA,,,,,GOV,,,USAGOV,HILLARY CLINTON,USA,,,,,GOV,,,1,110,110,11,3,-2.0,6,2,6,2.23042800038998,1,Kenya,KE,KE,1.0,38.0,KE,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20161109,http://www.chronicle.co.zw/zim-ready-to-work-with-trump-govt/
606648245,20161108,201611,2016,2016.8438,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOV,OBAMA,USA,,,,,GOV,,,0,010,010,01,1,0.0,2,1,2,-5.6013179571664,1,Belgium,BE,BE,50.8333,4.0,BE,1,Belgium,BE,BE,50.8333,4.0,BE,1,Belgium,BE,BE,50.8333,4.0,BE,20161208,http://www.csmonitor.com/World/Europe/2016/1208/Why-Pope-Francis-says-fake-news-is-a-sin
606648246,20161108,201611,2016,2016.8438,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOV,OBAMA,USA,,,,,GOV,,,0,010,010,01,1,0.0,3,1,3,-5.6013179571664,1,Italy,IT,IT,42.8333,12.8333,IT,1,Italy,IT,IT,42.8333,12.8333,IT,1,Italy,IT,IT,42.8333,12.8333,IT,20161208,http://www.csmonitor.com/World/Europe/2016/1208/Why-Pope-Francis-says-fake-news-is-a-sin
606657808,20161108,201611,2016,2016.8438,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,0,115,115,11,3,-2.0,3,1,3,-4.86322188449848,1,Iraq,IZ,IZ,33.0,44.0,IZ,1,Iraq,IZ,IZ,33.0,44.0,IZ,1,Iraq,IZ,IZ,33.0,44.0,IZ,20161208,http://www.nbcnews.com/feature/nbc-out/military-doctor-denies-chelsea-manning-s-request-have-records-reflect-n693146
606578195,20161108,201611,2016,2016.8438,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,USAGOV,HILLARY CLINTON,USA,,,,,GOV,,,0,020,020,02,1,3.0,21,5,21,0.0,2,"North Dakota, United States",US,USND,47.5362,-99.793,ND,2,"North Dakota, United States",US,USND,47.5362,-99.793,ND,2,"North Dakota, United States",US,USND,47.5362,-99.793,ND,20161208,http://www.sacbee.com/news/politics-government/article119647633.html
