GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
619184789,20170120,201701,2017,2017.0548,USAGOV,HILLARY CLINTON,USA,,,,,GOV,,,USAGOVELI,HILLARY CLINTON,USA,,,,,GOV,ELI,,1,51,51,5,1,3.4,5,1,5,4.545454545,0,,,,,,,0,,,,,,,0,,,,,,,20170120,http://seriouslypolitics.com/2017/01/20/13/51/55/donald-trump-thanks-hillary-clinton-on-his-inauguration-day/
618928233,20170120,201701,2017,2017.0548,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOV,OBAMA,USA,,,,,GOV,,,1,36,36,3,1,4,2400,3,1200,3.556391666,0,,,,,,,0,,,,,,,0,,,,,,,20170120,http://13wham.com/news/local/as-obama-leaves-office-many-remembering-his-visit-to-magnolias
619099416,20170120,201701,2017,2017.0548,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,USAGOV,OBAMA,USA,,,,,GOV,,,1,80,80,8,2,5,5,1,5,0,0,,,,,,,0,,,,,,,0,,,,,,,20170120,http://www.zazoom.it/2017-01-20/obama-departs-oval-office-after-leaving-note-for-trump/2406686/
618988532,20170120,201701,2017,2017.0548,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOV,OBAMA,USA,,,,,GOV,,,1,17,17,1,1,0,10,1,10,-3.422053232,0,,,,,,,0,,,,,,,0,,,,,,,20170120,http://www.lockhaven.com/news/local-news/2017/01/pres-obama-commutes-sentence-of-local-drug-dealer/
619083724,20170120,201701,2017,2017.0548,USAGOV,OVAL OFFICE,USA,,,,,GOV,,,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,1,42,42,4,1,1.9,65,7,65,0.782943013,0,,,,,,,0,,,,,,,0,,,,,,,20170120,http://www.business-standard.com/article/pti-stories/barack-obama-leaves-oval-office-for-last-time-117012001266_1.html
618876251,20170120,201701,2017,2017.0548,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOV,OBAMA,USA,,,,,GOV,,,1,50,50,5,1,3.5,5,1,5,-1.809954751,0,,,,,,,0,,,,,,,0,,,,,,,20170120,http://www.republicofmining.com/2017/01/19/donald-trump-cant-cure-the-sickness-thats-afflicting-the-us-coal-industry-by-tom-dichristopher-cnbc-com-january-19-2017/
619083725,20170120,201701,2017,2017.0548,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,USAGOV,OVAL OFFICE,USA,,,,,GOV,,,1,43,43,4,1,2.8,65,7,65,0.782943013,0,,,,,,,0,,,,,,,0,,,,,,,20170120,http://www.business-standard.com/article/pti-stories/barack-obama-leaves-oval-office-for-last-time-117012001266_1.html
618928234,20170120,201701,2017,2017.0548,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,1,51,51,5,1,3.4,20,2,20,3.745813503,0,,,,,,,0,,,,,,,0,,,,,,,20170120,http://www.mamamia.com.au/ellen-tribute-to-obama/
619103046,20170120,201701,2017,2017.0548,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,1,172,172,17,4,-5,5,1,5,-2.265372168,0,,,,,,,0,,,,,,,0,,,,,,,20170120,http://dailycaller.com/2017/01/20/obama-outlaws-more-light-bulbs-on-his-way-out-the-door/
619133751,20170120,201701,2017,2017.0548,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOV,OBAMA,USA,,,,,GOV,,,0,112,112,11,3,-2,240,116,240,-8.39925153,2,"Idaho, United States",US,USID,44.2394,-114.51,ID,1,Afghanistan,AF,AF,33,65,AF,1,Afghanistan,AF,AF,33,65,AF,20170120,http://hosted.ap.org/dynamic/stories/U/US_BERGDAHL_TRUMP?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2017-01-20-13-01-40
